TSNE1,TSNE2,label
18.1668,-14.673611,0
-22.228575,3.0668774,1
15.928618,-15.609997,0
2.7891233,6.2050233,4
-11.581763,-12.467952,4
9.585544,19.232054,3
10.269739,0.6642155,4
17.724272,14.216081,3
2.5753531,-25.920546,2
8.8987255,18.802607,3
7.2722306,17.740892,4
5.100357,-22.274809,2
-0.17991975,2.2348833,4
-11.657676,-2.2688198,4
14.333331,0.81059223,3
18.12947,4.772697,4
0.5381894,4.7479334,4
0.8063228,-25.525305,2
22.78128,-9.733726,0
-23.039824,10.418835,1
-17.299461,16.019428,1
0.5038303,4.364082,4
5.8312573,-24.159342,2
5.158324,19.981806,4
-25.096458,9.273715,4
13.32822,1.5269816,4
-12.070433,-9.213431,4
-10.507844,-3.3996603,4
-2.5043387,-11.618569,4
-12.50735,-8.130494,4
-16.38881,15.232333,1
-19.123257,14.363956,1
18.606073,4.0257826,4
-8.255017,-19.494064,2
-21.325844,2.8248882,1
9.034217,19.25352,3
23.04477,-10.535811,0
2.0385518,10.632082,3
-15.549942,-6.828171,1
4.454202,18.676685,3
-19.565191,14.529321,1
20.413685,-14.511306,0
11.0220995,19.168488,3
2.8039646,1.4995356,4
9.097011,19.37758,3
-12.512965,-9.073377,4
12.519268,-17.365961,4
-0.13413551,-25.013044,2
4.5963135,20.602245,3
11.789912,18.018143,3
11.522067,-17.463467,4
17.73827,13.471028,3
22.161114,-12.780372,0
17.347616,9.928802,4
-17.78728,-4.4839582,1
-17.29594,14.496265,1
14.18425,0.7991849,3
20.997839,-6.959714,0
17.685787,4.471214,4
-1.5341144,-11.233281,4
3.6672218,19.881212,4
22.159565,-8.73014,4
13.563965,1.191088,4
10.64291,18.232037,3
1.024231,10.379607,4
16.06446,3.2188537,4
21.013313,-6.9745297,0
19.686115,-15.837613,0
-10.615782,-3.8938856,4
-11.898406,-9.702631,4
-4.8644824,-18.562294,2
17.148502,1.3448067,4
-11.020983,-4.2067523,4
18.957342,-14.77287,0
-1.325354,-10.086084,4
-22.99884,9.541552,1
17.120117,13.022356,3
-4.758602,-18.54056,2
-22.18295,6.886717,1
0.28950417,6.6609774,4
-0.30164295,-26.34608,2
-7.6972394,25.900738,4
2.316571,3.3498838,3
8.938068,18.801575,3
1.698155,5.1845603,4
20.729443,-15.2757845,0
2.6443224,19.489864,3
0.38938102,2.1464398,4
-22.500084,10.214763,1
22.412607,-13.803746,0
-23.848135,11.16044,1
3.1771152,3.2889938,4
-0.6091531,-25.786728,2
-7.251157,-17.625557,2
14.760253,2.4800317,4
2.185943,3.139324,3
-10.673788,-10.019419,4
-10.89784,-10.877812,4
-22.64133,12.177034,1
1.2457498,4.628178,4
-0.64602417,-25.165913,2
18.136322,4.877316,4
3.3783636,4.3944707,4
19.854635,-13.453681,0
0.03782378,-22.881083,2
-8.438191,-16.242819,2
21.541908,-12.8647585,0
0.64296526,1.8406363,4
20.067549,-13.375853,0
-13.8776045,-3.0729663,1
-7.6972394,25.900738,4
0.45716748,2.9828243,4
1.7807215,3.6581056,3
10.344064,19.045362,3
-16.7905,-2.4096658,1
1.5870858,10.35076,4
-16.715374,18.316015,1
14.155482,0.89375067,3
-12.598077,-2.1550994,0
-1.2493036,-8.999931,4
1.3404185,-11.545147,4
14.715264,-16.366123,0
-8.383153,-18.47076,2
-7.6972394,25.900738,4
1.9900316,11.067354,3
12.244317,18.700188,3
1.0181328,-9.5330105,4
0.109673224,-11.7053995,4
-20.043837,17.565645,1
-0.7352714,-25.884672,2
-18.128815,15.802706,1
9.31743,0.83008885,3
1.1529264,-24.862202,2
2.2839067,3.8594215,3
-21.461866,13.127314,1
-7.6972394,25.900738,4
-7.6972394,25.900738,4
2.3574705,11.600866,3
2.8227859,-25.68762,2
1.5455426,3.130473,4
-10.83072,-9.787169,4
-19.334227,14.655529,1
17.700857,-13.74614,0
0.91352016,-25.245537,2
12.20494,18.648653,4
16.078373,-15.805045,0
-22.51661,10.59415,1
-21.703737,11.154321,1
-16.853989,16.062305,1
18.256733,12.645268,3
-22.231926,2.9155416,1
-14.838514,-5.3965225,1
1.07089,-28.327467,2
-21.736269,4.691267,1
-17.922237,-3.811371,1
16.157673,10.66316,4
22.518612,-10.459656,0
-10.481198,-3.4404306,4
20.659979,-12.398036,0
-21.97473,7.361046,1
-10.952161,-4.054606,4
-8.077215,-19.48525,2
21.578773,-13.181432,0
1.8826642,9.932254,4
0.96995854,-25.259287,2
-14.023893,-2.7258394,1
-19.534615,17.945755,1
-0.38976517,-26.80699,2
-7.9817376,-16.113438,2
17.184357,14.125207,3
-11.36082,-4.767476,4
-20.491135,8.05765,1
10.790805,1.601702,1
-1.3310554,-9.286874,4
-21.721792,3.4597957,1
-10.621239,-4.273478,4
2.8462918,19.71048,3
-15.899244,-5.2048497,1
-17.999418,15.537965,1
2.5127208,5.290172,4
19.480574,-14.009953,0
-24.428347,11.369921,1
10.787089,0.6597017,4
17.267704,9.922759,4
21.15556,-11.968065,1
-18.917501,17.605488,4
21.782173,-7.96768,4
1.9914615,3.6898098,3
-17.379717,14.59268,1
19.095999,12.813193,3
16.988537,-14.68026,0
20.96675,-6.925786,0
18.27748,13.643081,3
1.0603378,-28.304604,2
-22.228228,2.8530838,1
-11.997773,-5.984522,4
-12.637845,-9.308898,4
22.340858,-10.9418335,0
1.6192584,1.2241027,4
4.610997,18.466074,3
-20.727177,11.565241,1
