Wavelength,Wavenumber,PLA50ppm-1,PLA50ppm-2,PLA50ppm-3,PLA100ppm-1,PLA100ppm-2,PLA100ppm-3,PLA200ppm-1,PLA200ppm-2,PLA200ppm-3,PLA300ppm-1,PLA300ppm-2,PLA300ppm-3,PLA400ppm-1,PLA400ppm-2,PLA400ppm-3,PLA500ppm-1,PLA500ppm-2,PLA500ppm-3,PLA600ppm-1,PLA600ppm-2,PLA600ppm-3
831.02,704.67,88.5,64.9,71.24,31.96,0,2.62,32.75,0,4.87,61.7,61.29,81.34,57.04,31.18,37.38,4.85,0,0.4,54.22,6.82,89.83
831.16,706.68,89.34,66.79,70.9,29.8,0,2.62,23.62,0,0,47.12,68.34,41.86,71.28,6.33,35.37,4.85,11.35,0,29.59,9.71,59.17
831.29,708.69,93.19,51.69,68.89,29.23,8.58,30.46,26.94,7.2,11.09,76.2,89.71,39.4,54.84,12.35,57.01,0,13.82,0,16.84,23.73,29.89
831.43,710.69,66.72,64.59,41.23,15.17,23.51,39.05,11.98,7.2,11.09,62.27,75.74,38.27,46.05,13.64,52.98,0,13.82,0,2.17,18.48,11.88
831.57,712.7,44.32,88.62,27.35,15.17,41.12,39.05,15.18,7.2,11.09,47.76,65.2,38.27,28.02,13.64,43.64,11.81,2.47,0,10.33,14.68,11.88
831.71,714.7,15.42,68.68,21.26,0,32.54,11.21,3.19,0,0,12.04,22.55,13.65,17.93,7.63,11.79,11.81,0,0,8.16,0.66,1.24
831.85,716.71,31.75,50.73,31.41,0,17.61,5.51,3.19,0,0,0,16.26,0,4.92,5.99,0,11.81,2.12,0,8.16,0,0
831.99,718.71,46.58,25.57,35.33,0,0,5.51,0,0,0,0,0,0,4.64,5.99,0,0,2.12,0,0,0,0
832.13,720.71,53.93,49.39,42.83,0,0,10.69,0,0,0,0,0,0,4.64,16.5,8.35,7.23,2.12,0,0,8.76,0
832.26,722.71,48.85,35.35,47.89,0.21,0,8.48,0,3.45,0,13.87,0,5.39,4.73,15.72,14.06,7.23,0,0,0,8.76,0
832.4,724.71,83.22,62.11,72.4,34.58,26.74,38.31,5.55,3.45,18.02,36.92,31.2,48.01,34.96,32.73,26.58,7.23,3.9,0,19.86,33.87,0
832.54,726.71,84.27,56.87,105.59,63.76,49.66,61.5,5.55,20.49,35.73,50.49,61.56,63.52,47.27,37.04,34.89,6.24,3.9,6.25,19.86,25.11,0.42
832.68,728.71,72.1,56.87,103.89,72.54,57.43,66.44,5.55,17.04,35.73,42.03,71.43,58.12,64.26,32.45,29.18,7.16,3.9,26.11,26.17,31.6,0.42
832.82,730.7,30.95,38.76,97.21,38.17,66.29,52.37,0,17.65,18.8,20.91,41.58,15.51,40.25,29.18,20.58,7.16,0,26.11,6.31,6.49,0.42
832.96,732.7,31.91,29.78,49.99,12.68,43.37,28.38,0,0.61,1.09,21.22,17.85,0,27.93,18.34,18.42,0.91,0,19.86,6.31,6.49,0
833.1,734.69,32,39.46,48.88,7.95,35.61,37.82,0,5.31,3.75,16.98,17.21,23.6,31.12,24.27,18.42,0,0,12.15,10.25,2.65,0
833.23,736.69,63.43,37.95,49.78,12.66,6.31,27.58,0,4.71,2.66,43.06,30.24,44.74,35.3,29.53,29.02,0,0,12.15,14.48,5.24,0
833.37,738.68,63.32,39.22,52.48,26.68,6.66,38.09,8.98,4.71,2.66,29.18,27.38,53.99,58.64,28.89,28.39,0,0,12.15,14.48,5.24,0
833.51,740.67,75.22,53.5,56.85,24.67,25.6,29.93,15.14,1.31,0,33.03,33.84,64.28,49.58,47.58,54.15,0,0,9.74,4.23,2.59,17.75
833.65,742.66,52.8,37.45,29.65,22.65,39.03,35.74,15.37,1.31,0,22.87,39.97,68.25,45.51,35.92,39.63,0,0,9.74,0,0,17.75
