WP-00790,Wavenumber,PMMA200ppm-1,PMMA200ppm-2,PMMA200ppm-3,PMMA100ppm-1,PMMA100ppm-2,PMMA100ppm-3,PMMA50ppm-1,PMMA50ppm-2,PMMA50ppm-3,PMMA10ppm-1,PMMA10ppm-2,PMMA10ppm-3,PMMA5ppm-1,PMMA5ppm-2,PMMA5ppm-3
828.24,664.29,5.52,0,0,31.28,67.67,43.79,48.85,82.93,40.59,62.83,42.13,41.49,20.44,14.59,22.57
828.38,666.32,93.06,56.73,84.57,154.49,204.63,178.56,184.77,207.32,154.69,141.52,90.31,101.53,80.07,48.02,85.58
828.52,668.34,132.03,83.85,96.5,212.73,271.3,250.72,236.5,241.26,249.06,181.16,132.67,125.21,133,78.4,89.79
828.65,670.37,126.51,83.85,96.5,181.45,203.63,206.93,187.64,171,208.47,118.33,96.3,93.66,112.56,63.81,80.01
828.79,672.4,38.97,27.12,11.93,58.24,66.67,72.16,51.73,46.61,94.37,39.64,48.11,33.62,52.93,30.38,17
828.93,674.42,0,0,0,0,0,0,29.5,32.26,11.83,0,25.91,27.75,19.88,5.27,0
829.07,676.45,18.31,0,0,59.29,78.15,79.71,105.5,94.76,98.29,7.89,54.8,49.49,48.8,5.27,39.77
829.21,678.47,18.31,0,0,89.13,78.15,109.7,125.54,141.72,117.25,7.89,71.55,49.49,55.98,5.27,39.77
829.35,680.49,18.31,0,0,89.13,78.15,109.7,96.05,109.46,105.42,7.89,45.65,21.74,36.1,0,39.77
829.49,682.51,0,0,0,38.48,17.59,47.86,28.22,89.52,36.3,0,16.75,0,7.18,0,0
829.63,684.53,120.05,93.97,50.39,154.75,182.66,176.94,153.65,179.86,148.45,73.2,100.4,75.58,56.68,56.64,62.65
829.77,686.55,238.48,235.63,161.09,367.52,363.77,348.37,307.64,332.06,290.53,146.82,182.51,184.55,110.47,113.39,130.1
829.91,688.57,318.71,297.41,231.19,479.05,480.38,437.06,387.72,406.38,381.32,165.62,226.1,240,148.15,128.67,156.48
830.04,690.58,318.19,266.51,245.81,479.71,421.47,394.88,361.95,347.85,378.61,152.62,175.33,209.58,153.58,131.72,149.68
830.18,692.6,244.36,165.95,171.77,366.06,309.24,300.39,277.9,251.36,320.28,96.71,101.65,121.91,140.44,118.2,98.63
830.32,694.61,164.13,104.18,101.68,260.42,182.03,193.83,189.65,160.26,249.66,77.9,58.06,66.45,102.77,102.92,72.26
830.46,696.63,44.6,41.11,36.67,126.14,94.84,86.38,113.01,83.87,160.75,33.5,8.43,21.3,40.65,43.22,16.41
