WP-00790,,PS0.1ppm-1,PS0.1ppm-2,PS0.1ppm-3,PS0.5ppm-1,PS0.5ppm-2,PS0.5ppm-3,PS1.0ppm-1,PS1.0ppm-2,PS1.0ppm-3,PS5ppm-1,PS5ppm-2,PS5ppm-3,PS10ppm-1,PS10ppm-2,PS10ppm-3,PS50ppm-1,PS50ppm-2,PS50ppm-3,PS100ppm-1,PS100ppm-2,PS100ppm-3,PS200ppm-1,PS200ppm-2,PS200ppm-3
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
823.91,600.89,54.06,19.34,38.39,108.53,84.31,73.01,38.48,15.85,22.54,64.21,145.45,67.26,86.12,42.04,21.15,120.66,55.2,89.51,123.52,163.61,155.8,244.29,255.04,250.02
824.05,602.95,57.04,13.71,71.76,82.93,74.49,100.99,36.64,25.07,23.45,36.61,97.59,68.61,84.7,30.45,37.44,115.22,105.75,79.39,108.81,119.67,144.8,242.56,254.77,215.38
824.19,605.01,53.68,8.82,55.07,45.19,71.05,85.92,20.7,9.22,20.05,18.28,54.29,43.38,38.1,0,36.05,61.77,63.9,66.98,75.07,78.79,112.69,187.73,154.71,138.03
824.33,607.07,28.48,14.47,43.06,14.02,29.79,36.46,12.51,19.68,23.27,1.41,32.15,33.61,11.34,7.46,24.25,58.79,77.25,49.98,65.16,63.97,91.47,145.11,117.21,103.15
824.47,609.13,0,13.41,21.02,0,19.81,11.29,18.3,26.81,20.48,0,17.55,0,37.46,46.14,28.74,155.71,122.16,145.55,166.48,156.71,164.82,258.06,237.93,261.84
824.61,611.18,0,13.41,21.02,0,19.81,10.57,19.5,35.61,20.48,14.78,17.55,0,83.68,66.92,62.48,268.1,235.62,267.19,329.97,327.18,277.38,482.22,512.87,473.34
824.75,613.24,0,0,19.81,0,10.72,3.73,24.16,41.61,36.56,28.38,2.82,0,122.18,100.53,98.77,380.37,360.23,351.45,452.64,456.28,400.07,676.17,723.6,667.36
824.89,615.29,0,0,0,0,0,0,35.36,25.26,19.53,28.38,0,3.96,109.29,122.99,118.91,406.77,401.63,399.17,501.11,504.5,459.88,732.24,803.77,700.83
825.03,617.35,20.94,2.29,0,20.89,0,0,50.66,33.9,19.53,18.94,0,3.96,103.8,146.85,123.79,412.85,413.72,402.58,510.26,506.06,479.04,766.99,789.29,737.97
825.17,619.4,20.94,2.29,0,20.89,0,0,40.46,45.65,3.35,7.48,0,3.96,100.04,140.79,111.4,328.95,368.16,351.67,446.09,453.31,424.87,747.41,765.81,712.13
825.31,621.45,20.94,14.5,0.98,25.68,0,7.76,46.85,54.28,27.83,22.08,0,6.31,88.25,106.35,93.31,274.95,308.17,273.67,390.17,374.79,410.94,680.41,686.58,640.51
825.45,623.5,0,19.99,0.98,4.79,0,7.76,30.35,36.84,27.83,16.74,0,6.31,47.53,61.71,62.17,156.48,200.76,156.25,261.82,231.52,292.91,469.97,481.24,436.47
825.59,625.55,0,29.77,0.98,15.43,0,64.55,30.35,8.78,24.47,14.6,0,6.31,28.22,26.7,34.51,79.82,107.49,85.63,170.6,130.04,198.01,289,295.37,225.22
