,PS0ppm-1,PS0ppm-2,PS0ppm-3,PS0.05ppm-1,PS0.05ppm-2,PS0.05ppm-3,PMMA0ppm-1,PMMA0ppm-2,PMMA0ppm-3,PMMA0.05ppm-1,PMMA0.05ppm-2,PMMA0.05ppm-3,PMMA0.1ppm-1,PMMA0.1ppm-2,PMMA0.1ppm-3,PE0ppm-1,PE0ppm-2,PE0ppm-3,PE0.01ppm-1,PE0.01ppm-2,PE0.01ppm-3,PLA0ppm-1,PLA0ppm-2,PLA0ppm-3,PLA0.05ppm-1,PLA0.05ppm-2,PLA0.05ppm-3,PLA0.1ppm-1,PLA0.1ppm-2,PLA0.1ppm-3,PLA0.5ppm-1,PLA0.5ppm-2,PLA0.5ppm-3,PLA1ppm-1,PLA1ppm-2,PLA1ppm-3,PLA5ppm-1,PLA5ppm-2,PLA5ppm-3,PLA10ppm-1,PLA10ppm-2,PLA10ppm-3
PE0.01ppm-3,0.25206771717895243,0.24776739570484027,0.24834292199310978,0.18237603752654746,0.17815518401947306,0.18608278833983224,0.7073100315896795,0.7202983434101943,0.716651773301361,0.6598680268585512,0.6740512432128802,0.6601399620399535,0.6984287708359118,0.6820507794623849,0.675201776398578,0.6382986135504192,0.6699504066978583,0.6871381580500507,0.8781068612454417,0.8857949225201792,1.0,0.11056738268611031,0.12180997113685087,0.1252831748472771,0.21993140317826176,0.2725451397919823,0.2496476182425266,0.06767713654644479,0.0676782190964549,0.0632527955404741,0.13531988424147928,0.15421610650052545,0.1355505375630132,0.17377302460249722,0.17701820183200934,0.19807101752780867,0.0826586358020868,0.0822368648977496,0.08111261680131168,0.277718600349604,0.27157999074439104,0.25889140905380675
PLA0ppm-1,0.40879522433093035,0.4099983122020591,0.41887750431721454,0.341156724259345,0.34430803258548504,0.337968688189399,0.3036196218317597,0.29340983196503545,0.26073826456033766,0.3254771890980752,0.2880032450017415,0.31266510625950833,0.18846457019622131,0.20330846457302332,0.19102163084159707,0.352700496559417,0.348262686484055,0.3293799713521375,0.11626197808750854,0.09772417703547706,0.11056738268611031,1.0,0.8974930499728756,0.921797772712841,0.7789573995267931,0.7939889093127093,0.8202663112532865,0.8714150933649443,0.8755858285082355,0.8753099698341905,0.7897570638836495,0.7749287610589576,0.8088074193231372,0.7287729189473863,0.7324740422464869,0.7418468847637507,0.8702735779435539,0.8754328145892085,0.8801163924584,0.40070609743336466,0.3971630545255701,0.38970553852870865
PLA0ppm-2,0.4041003186910429,0.39907779110173897,0.40824878269802195,0.32910160817439355,0.3295161824243276,0.3262635391727371,0.3012077580480202,0.3137762183697192,0.2826250332506249,0.3282609952351996,0.29040004007950565,0.31663719526771134,0.19564412442910453,0.19707086771999066,0.18180561941288814,0.36885592751832263,0.3490396479487541,0.34400542469489775,0.11363488392992817,0.11101582591634537,0.12180997113685087,0.8974930499728756,1.0,0.9154734930319609,0.7805089462525058,0.8157395531336702,0.8020252090758624,0.8506141032899294,0.8443113458791502,0.8370391168890092,0.7648088455205055,0.7436728027170791,0.7694036432391769,0.7054795411873862,0.7095551696537881,0.7077973200098404,0.8325576305062251,0.8409523234316022,0.8419989276739566,0.39441739489166844,0.39191705518175735,0.3826351135726755
PLA0ppm-3,0.38269636899359205,0.3734778886883361,0.387878490910133,0.3127047803244637,0.3115037791086324,0.3079481797244397,0.2982385859945463,0.28147093835458176,0.2581935600318266,0.309889268122103,0.2708337069798041,0.3072715617812695,0.20316009219771747,0.19885547823374042,0.19305771096561436,0.3316289525096598,0.3203316687436337,0.30399010077012417,0.10778723294766852,0.09352221864756105,0.1252831748472771,0.921797772712841,0.9154734930319609,1.0,0.7887161501091086,0.8077949470352236,0.8145601127534273,0.8624491407306474,0.8717436495854572,0.8697623467845771,0.7973095887895784,0.7979851624710131,0.8084880231742073,0.736204003603189,0.7323177142383427,0.7594656367606333,0.8693763821880166,0.8746110974905926,0.8746693843202368,0.34935354177847683,0.34358377990156885,0.34048065386123877
PLA0.05ppm-1,0.318098137670171,0.3161242700841473,0.32952842267824245,0.2677403862698046,0.2637668260565646,0.26261446698779123,0.3495714044782224,0.35172795307056304,0.33283141401418154,0.35096980814805706,0.327175878024281,0.37969943539375806,0.2641901193805609,0.24083359232823234,0.24428396676512515,0.4063986681053074,0.4235835508793884,0.37970503855707144,0.20737211022819893,0.20037873626075633,0.21993140317826176,0.7789573995267931,0.7805089462525058,0.7887161501091086,1.0,0.8243109102957351,0.8185925729306238,0.7995983783181106,0.7882723037420823,0.7879869167760571,0.7751279404465146,0.7682543035076564,0.7670545841952133,0.7524024997509303,0.7280541176723575,0.7826475646166919,0.7665457467289928,0.7672598466347766,0.7737561541321105,0.38589646805255456,0.39531544695293697,0.37991171616615976
PLA0.05ppm-2,0.3465975955121564,0.3410442133468505,0.3556122310916797,0.28023918270779874,0.2832050495171474,0.2790899001180158,0.41406317319107344,0.3994052969449107,0.38308666795390484,0.43760745059015516,0.3917691978469891,0.4393743503202709,0.3216690071811316,0.3153665819467141,0.30771126793795883,0.4482831815320658,0.4545847209570563,0.415347288936259,0.25253482291209095,0.2529827998679736,0.2725451397919823,0.7939889093127093,0.8157395531336702,0.8077949470352236,0.8243109102957351,1.0,0.8586674698364041,0.7958999270815745,0.7950150693109006,0.8033398644853872,0.7718977788694289,0.7555440276451046,0.7815597752782671,0.7511288450557009,0.7594927007826777,0.7821600909648907,0.7828162874189977,0.7785831109973439,0.7916988727657192,0.39930983921273416,0.39569853066405036,0.39268291990048737
PLA0.05ppm-3,0.3287957157227577,0.3207911093686705,0.3333333079926761,0.2633327609548175,0.26474337635258466,0.2569139956225313,0.3863913928757723,0.3914650187509643,0.3675194908829962,0.3985630182029167,0.3611040813862745,0.40620848640621854,0.30014245707790477,0.29125001569836634,0.29148821178435846,0.4079816536730181,0.4281195771407983,0.3878134309538205,0.22112798331748557,0.21803672178849617,0.2496476182425266,0.8202663112532865,0.8020252090758624,0.8145601127534273,0.8185925729306238,0.8586674698364041,1.0,0.8339001011079017,0.8242716705774945,0.8334709871288478,0.7947444687097202,0.7841507665471913,0.7975121049374154,0.781689332147096,0.7712040130192112,0.8158884076687271,0.8079378758543433,0.812963615740696,0.814536352480451,0.35903828970751156,0.3599400485752396,0.3515331136137567
PLA0.1ppm-1,0.26040971266579166,0.26169763792376144,0.26648912452662865,0.2018059219643315,0.20972376078677,0.2045783201066638,0.18667630868591253,0.1968991858945293,0.17550182767692415,0.18918208470688913,0.16966054941895223,0.20395136532963376,0.09481805110354301,0.09132404268792024,0.08488794656517717,0.26993598338780855,0.2699792010693003,0.25206668151757766,0.047741957366791855,0.045664830509435,0.06767713654644479,0.8714150933649443,0.8506141032899294,0.8624491407306474,0.7995983783181106,0.7958999270815745,0.8339001011079017,1.0,0.9501660695744121,0.9505777855442805,0.874366352135339,0.852010330875152,0.8720441150022024,0.8311159321957756,0.8181328177881992,0.8395294782781787,0.9282873090726222,0.9324046422195892,0.9332379407836547,0.2927840637513901,0.28821447129515354,0.28372970937978126
PLA0.1ppm-2,0.30084853876848533,0.292482268271281,0.3047904929591258,0.2379778606598392,0.24624024486730045,0.24110218690289664,0.2057201296821505,0.20370468178594844,0.1736545529000007,0.21751926552772705,0.1815829921156467,0.22849929968617488,0.11153773735567978,0.10304535870981832,0.09590007088432405,0.27511388513335056,0.2701055940832563,0.2618081357275936,0.05176058379025455,0.04277917589380748,0.0676782190964549,0.8755858285082355,0.8443113458791502,0.8717436495854572,0.7882723037420823,0.7950150693109006,0.8242716705774945,0.9501660695744121,1.0,0.94979991893003,0.8691578115674988,0.8537043574781178,0.8716664527499406,0.8246608290162061,0.8143298415132546,0.831107073879723,0.9249070066867087,0.9264689807197221,0.9277215648590978,0.30271728721612706,0.31344745711190475,0.3039747499939653
PLA0.1ppm-3,0.23940165322138074,0.2375441608874511,0.24658886129203386,0.18067610519456762,0.18896138564707116,0.18562415798336251,0.19022402776521638,0.18845538306684986,0.17371750686625503,0.19386186385011073,0.17421326105864457,0.20622740623064015,0.09494817490238452,0.09466626082821036,0.08329089651726321,0.2527189238784176,0.2632380999476609,0.24389090110042472,0.04613566248343741,0.03631869176100326,0.0632527955404741,0.8753099698341905,0.8370391168890092,0.8697623467845771,0.7879869167760571,0.8033398644853872,0.8334709871288478,0.9505777855442805,0.94979991893003,1.0,0.8817349816467313,0.8769186181393711,0.8904528919174648,0.836215114733483,0.8203244384622824,0.8504753235642754,0.9346268181466499,0.9371293875696183,0.9384295359243381,0.2726976231809796,0.2756095357574062,0.26817180805352875
