WP-00790,,PE0.05ppm,PE0.1ppm,PE0.5ppm,PE1ppm,PE5ppm,PE10ppm,PE50ppm,PE100ppm,PE200ppm
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
836.96,790.13,31.22,41.2,107.85,60.96,87.94,64.51,180.48,196.58,182.94
837.1,792.09,42.21,53.29,129.68,82.78,115.47,83.66,201.46,226.14,208.3
837.24,794.06,62.19,47.7,143.17,83.58,101.66,89.14,207.77,188.71,204.98
837.37,796.02,90.71,65.99,166.52,91.6,112.72,109.5,243.62,193.86,254.54
837.51,797.98,81.11,50.83,165.76,85.49,96.66,91.74,219.68,174.6,236.31
837.65,799.94,92.6,67.11,178.08,101.49,122.03,123.08,228.18,251.47,270.85
837.79,801.9,80.09,51.71,170.06,89.48,110.73,99.75,200.34,266.03,271.05
837.92,803.86,109.23,66.64,183.36,115.12,133.75,135.74,227.82,367.96,313.24
838.06,805.82,97.13,43.01,176.41,93.87,134.54,128.17,238.41,430.02,323.2
838.2,807.78,117.91,52.25,208.68,106.49,165.54,160.16,279.21,534.33,330.71
838.34,809.73,110.46,80.27,265.71,115.22,182.3,154.91,323.45,616.46,335.33
838.47,811.69,133.44,104.39,313.51,149.04,177.84,168.76,361.46,678.72,348.72
838.61,813.64,164.85,139.28,366.07,192.64,201.81,194.73,428.24,761.8,371.89
838.75,815.6,184.14,119.06,385.17,192.45,218.66,205.91,455.24,767.13,430.94
838.89,817.55,180.87,121.93,389.03,201.02,256.95,209.52,479.68,827.94,492.43
839.02,819.5,136.69,109.25,383.66,179.04,240.67,191.24,471.9,820.23,556.03
839.16,821.45,144.17,108.89,355.28,181.04,229.39,177.96,448.77,840.22,621.96
839.3,823.4,145.53,91.08,313.44,164.26,177.98,151.23,402.87,798.47,630.12
839.43,825.35,155.43,51.16,254.48,123.03,150.12,113.71,321.52,753.98,617.83
839.57,827.29,138.09,49,207.95,102.89,125.37,102.63,305.28,735.64,577.32
839.71,829.24,115.42,36.51,177.75,73.75,116.94,78.22,277.7,694.34,534.15
839.85,831.18,119.29,37.89,162.75,77.49,107.06,103.35,282.68,688.3,520.87
839.98,833.13,105.26,19.72,163.52,74,92.95,95.26,247.1,637.75,475.7
840.12,835.07,109.66,16.27,170.06,81.62,106.27,108.28,241.3,612.01,457.65
840.26,837.01,114.27,42.42,194.47,113.44,149.15,121.51,232.06,594.21,445.15
840.39,838.95,113.1,48.78,174.1,110.82,158.57,131.3,251.04,558.01,416.55
840.53,840.89,131.69,60.96,202.5,107.63,155.77,136.86,278.46,534.29,401.74
840.67,842.83,105.39,34.2,178.33,98.55,120.73,115.19,300,469.07,366.04
840.81,844.77,118.51,47.22,227.93,117.24,133.8,117.63,315.65,474,373.46
840.94,846.71,119.08,59,245.96,143.69,148.65,122.84,316.08,454.76,386
841.08,848.64,154.41,99.56,288.76,154.59,157.59,145.17,335.29,482.34,408.32
841.22,850.58,159.84,79.56,289,140.92,164.98,154.26,342.29,467.08,411.1
841.35,852.51,164.71,96.66,289.68,154.03,171.14,169.8,385.06,475.31,439.33
841.49,854.44,156.56,75.76,294.01,139.13,188.63,172.67,419.84,442.59,444.24
841.63,856.37,156.63,102.41,306.22,150.11,199,192.76,445.18,448.81,469.05
841.76,858.31,146.69,92.72,338.09,133.75,228.7,195.51,436.86,426.09,472.87
841.9,860.23,136.63,107.92,344.18,160.27,237.95,201.82,399.1,420.97,461.59
842.04,862.16,119.79,106,347.48,165.68,223.75,180.68,374.57,381.12,446.88
842.17,864.09,103.71,102.52,319.56,154.19,188.99,166.98,361.15,396.44,417.63
842.31,866.02,64.18,64.26,278.51,116.58,159.78,119.5,335.63,377.03,392.61
842.45,867.94,40.19,41.55,231.35,84.53,132.12,104.24,277.68,366.9,344.16
842.58,869.87,15.09,27.72,171.73,62.69,100.68,102.54,234.95,334.39,302.28
842.72,871.79,23.75,33.67,126.89,57.96,85.35,113.28,213.35,296.37,272.53
842.86,873.71,36.18,27.39,107.82,64,74.13,97.79,179.19,273.85,251.91
842.99,875.64,33.08,13.31,86.19,49.38,50.35,68.42,108.49,232.17,218.74
843.13,877.56,29.61,14.81,90.22,48.19,43.56,61.04,83.8,240.54,203.6
843.27,879.48,9.68,9.36,73.8,32.88,40.33,45.89,84.68,205.86,179.69
843.4,881.39,20.5,21.08,90.15,48.44,47.2,44.85,111.68,185.35,172.24
843.54,883.31,29.67,41.56,96.5,35.57,54.07,42.14,109.68,130.24,166.15
843.68,885.23,56.61,57.64,112.96,57.14,72.39,72.53,112.81,138.62,181.52
843.81,887.14,63.32,61.67,123.18,56.81,81.81,81.38,102.06,130.52,189.36
843.95,889.06,46.71,34.03,138.41,82.14,83.56,83.89,91.33,129.14,181.88
844.08,890.97,19.51,43.49,154.07,87.25,68.09,76.84,115.04,105.26,166.2
844.22,892.88,1.99,35.51,166.29,76.58,77.17,79.02,154.67,87.01,142.09
844.36,894.8,4.42,46.31,181.95,74.35,80.7,99.97,201.41,83.59,130.46
844.49,896.71,2.44,36.55,178.38,59.23,81.67,96.37,186.95,77.68,86.62
844.63,898.62,2.44,28.78,177.81,92.77,72.64,92.11,175.49,70.84,58.13
844.77,900.52,1.43,27.78,152.69,70.08,65.71,69.62,154.5,81.17,15.78
844.9,902.43,4.07,12.01,126,77.83,63.57,65.91,146.3,76.34,19.9
845.04,904.34,22.04,12.01,111.76,58.36,59.86,78.31,147.89,116.69,8.68
845.17,906.24,20.61,0,101.18,64.22,46.16,76.71,135.83,88.78,8.68
845.31,908.15,21.24,6.56,77.71,54.19,42.23,70.9,99.24,78.04,0
845.45,910.05,3.27,6.56,37.43,35.56,33.97,36.66,55.65,26.69,0
845.58,911.95,3.27,18.68,13.18,18.72,26.93,16.8,13.31,58.98,0
845.72,913.86,0,12.11,7.54,0,12.61,4.55,16.97,72.66,0
845.85,915.76,0,12.11,7.54,0,7.93,4.55,7.06,83.52,0
845.99,917.66,0,0,2.51,1.09,0,10.44,3.66,56.56,0
846.13,919.55,0,0,2.51,1.09,0,5.9,0,57.01,0
846.26,921.45,0,0,2.51,1.09,0,5.9,0,60.86,0
846.4,923.35,0,0,0,0,0,0,0,53.66,0
846.53,925.24,0,0,0,0,0,0,0,31.32,0
846.67,927.14,0,0,0,0,0,0,0,15.03,0
846.81,929.03,0,0,0,0,0,0,0,17.71,0
846.94,930.92,0,0,0,0,0,0,0,17.47,0
847.08,932.81,0,0,0,0,0,0,0,17.64,4.05
847.21,934.7,0,0,0,0,0,0,0,14.43,30.05
847.35,936.59,0,0,0,0,0,0,0,16.73,47.89
847.48,938.48,0,0,0,0,0,0,0,16.56,43.84
847.62,940.37,0,0,0,0,0,0,0,35.24,41.62
847.75,942.25,0,0,0,0,0,0,0,81.98,23.78
847.89,944.14,0,0,0,0,0,0,0,111.36,23.78
848.03,946.02,0,0,0,0,0,0,0,116.59,0
848.16,947.91,0,0,0,0,0,0,0,76.67,0
848.3,949.79,0,0,0,0,0,0,0,86.82,0
848.43,951.67,0,0,0,0,0,0,0,109.5,0
848.57,953.55,0,0,0,0,0,0,0,155.14,0
848.7,955.43,0,0,0,0,0,0,0,139.97,0
848.84,957.31,0,0,0,0,0,0,0,124.76,0
848.97,959.18,0,0,0,0,0,0,0,105.97,0
849.11,961.06,0,0,0,0,0,0,0,147.14,0
849.24,962.94,0,0,0,0,0,0,0,107.38,0
849.38,964.81,0,0,0,0,0,0,0,66.03,0
849.51,966.68,0,0,0,0,0,0,0,0.51,0
849.65,968.55,0,1.89,0,0,0,0,0,0.51,0
849.78,970.43,0,1.89,0,0,0,0,0,0,0
849.92,972.3,10.79,8.21,0,0,0.42,0,0,0,0
850.05,974.16,10.79,14.86,0,0,0.42,0,0,0,0
850.19,976.03,10.79,14.86,0,0,0.42,0,0,0,0
850.32,977.9,2.71,8.54,0,0,0,0,0,0,0
850.46,979.76,2.71,0,0,0,0,0,0,0,0
850.59,981.63,2.71,0,0,0,0,0,0,0,0
850.73,983.49,0,0,0,0,0,0,0,0,0
850.86,985.36,0,0,0,0,0,0,0,0,0
851,987.22,0,0,0,0,0,0,0,0,0
851.13,989.08,0,0,0,0,0,0,0,0,0
851.27,990.94,0,0,0,0,0,0,0,0,0
851.4,992.8,0,0,0,0,0,0,0,0,0
851.54,994.66,0,0,0,0,0,0,0,0,0
851.67,996.51,0,0,0,0,0,0,0,0,0
851.81,998.37,0,0,0,0,0,0,0,0,0
851.94,1000.22,0,0,0,0,0,0,0,0,0
852.08,1002.08,0,0,0,0,0,0,0,0,0
852.21,1003.93,0,0,0,0,0,0,0,0,0
852.34,1005.78,0,0,0,0,0,0,0,0,0
852.48,1007.63,0,0,0,0,0,0,0,0,0
852.61,1009.48,0,0,0,0,0,0,0,0,0
852.75,1011.33,0,0,0,0,0,0,0,0,0
852.88,1013.18,0,9.61,0,0,3.96,0,0,0,0
853.02,1015.03,0,9.61,0,0,3.96,0,0,0,0
853.15,1016.87,0,9.61,0,0,6.56,0,0,0,0
853.29,1018.72,0,0,0,0,2.6,0,0,0,0
853.42,1020.56,0,1.42,0,0,2.6,0,0,0,0
853.55,1022.4,11.15,20.29,9.06,16.18,19.68,0,0.4,0,0
853.69,1024.24,11.15,30.74,9.06,32.48,23.36,0,0.4,0,0
853.82,1026.08,40.15,68.55,51.67,86.45,54.26,13.74,13.63,0,0
853.96,1027.92,53.28,66.58,68.84,98.13,50.59,13.74,13.24,0,0
854.09,1029.76,96.15,94.4,111.02,124.26,81.38,18.93,13.24,0,0
854.22,1031.6,120.28,98.77,88.55,108.95,87.39,11.77,0,0,0
854.36,1033.44,141.86,109.59,95.53,125.42,102.19,11.77,8.16,0,0
854.49,1035.27,126.21,123.53,87.64,128.67,100.11,18.18,30.24,0,0
854.63,1037.11,106.34,102.58,84.86,126.7,78.48,19.04,30.24,0,0
854.76,1038.94,81.92,90.75,52.88,82.37,54.98,23.78,22.08,0,0
854.89,1040.77,67.62,46.03,22.35,36.69,34.92,17.21,0,0,0
855.03,1042.6,39.42,23.37,4.98,0,22.99,18.43,0,0,0
855.16,1044.43,18,11.66,3.76,0,15.68,16.88,0,0,0
855.3,1046.26,13.69,13.95,0,10.56,12.32,18,0,0,0
855.43,1048.09,8.62,13.95,0,10.56,8.97,9.34,0,0,0
855.56,1049.92,8.62,9.77,0,23.72,8.97,6.16,0,0,0
855.7,1051.75,0,0,0,13.16,0,0,0,0,0
855.83,1053.57,0,0,0,19.05,1.57,0,0,0,0
855.96,1055.4,0,0,0,5.88,1.57,0,0,0,0
856.1,1057.22,0,1.61,0,5.88,1.57,1.04,0,0,0
856.23,1059.04,0,1.61,0,0,0,1.04,0,0,0
856.37,1060.86,0,6.51,0,0,0,1.04,0,0,0
856.5,1062.68,0,4.9,0,0,0,0,0,0,0
856.63,1064.5,0,7.76,0,0,0,0,0,0,0
856.77,1066.32,0,2.86,0,0,0,5.81,0,0,0
856.9,1068.14,0,2.86,0,3.62,0,5.81,0,0,0
857.03,1069.96,0,0,0,3.62,0,10.19,0,0,0
857.17,1071.77,0,0,0,3.62,0,4.38,0,0,0
857.3,1073.58,0,7.3,0,0,0,4.38,0,0,0
857.43,1075.4,0,7.3,0,0,0,0,0,0,0
857.57,1077.21,0,7.3,0,0,0,0,0,0,0
