WP-00790,,PE0.05ppm-1,PE0.05ppm-2,PE0.05ppm-3,PE0.1ppm-1,PE0.1ppm-2,PE0.1ppm-3,PE0.5ppm-1,PE0.5ppm-2,PE0.5ppm-3,PE1ppm-1,PE1ppm-2,PE1ppm-3,PE5ppm-1,PE5ppm-2,PE5ppm-3,PE10ppm-1,PE10ppm-2,PE10ppm-3,PE50ppm-1,PE50ppm-2,PE50ppm-3,PE100ppm-1,PE100ppm-2,PE100ppm-3,PE200ppm-1,PE200ppm-2,PE200ppm-3
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
819.99,542.8,0,0,0,0.76,11.67,18.7,7.49,17.8,22.27,0,0,0,3.08,0,0,0,0,4.5,0.34,5.19,0,0,0,0,0,1.59,0
820.13,544.89,0,0,0,6.84,7.93,10.05,20.05,17.8,8.47,0,0,0.1,5.21,2.98,22.19,0,1.14,4.5,4.68,9.65,0,11.35,0.3,0.52,23.65,47.4,24.88
820.27,546.98,0,0,0,6.08,7.93,10.05,13.8,17.8,9.38,0,0.2,0.1,18.61,5.88,35.3,11.17,6.28,18.66,12.25,5.08,0,32.33,0.3,13.12,74.48,97.3,87.15
820.41,549.06,0,0,0,6.08,5.19,7.43,18.49,0,5.64,0,0.2,0.1,30.86,10.69,35.3,11.17,6.28,14.17,11.92,5.08,0,40.26,6.91,13.12,128.81,137.03,179.78
820.55,551.15,0,0,0,0,0,0,5.93,0,5.64,0,0.2,0,42.17,9.64,31.56,14.53,12.45,14.17,16.75,2.43,0,45.32,6.6,17.54,156.17,125.47,260.78
820.69,553.23,0,0,0,0,0,0,13.86,0.28,16.56,0,0,0,35.22,11.66,24.56,17.78,23.32,0,12.65,1.81,0,29.76,11.43,15.35,153.57,101.98,291.51
820.83,555.32,0,0,0,0,0,0,7.93,0.28,16.56,0,0,0,19.9,12.08,25.63,17.78,23.32,0,12.65,1.81,0,35.26,4.83,20.54,121.33,74.21,269.99
820.97,557.4,0,0,0,0,1.96,0,12.69,0.28,17.67,0,0,0,13.19,21.69,7.18,15.87,17.69,0,3.47,7.48,18.68,25.94,4.83,15.6,94.58,50.62,195.65
821.11,559.48,0,0,0,0,1.96,0,4.76,0,6.15,0,0,0,11.44,16.77,5.38,3.87,1.68,0,0,7.48,18.68,20.51,0,5.2,53.74,24.21,103.61
821.25,561.56,0,0,0,0,1.96,0.82,4.76,0,6.15,0,0,0,11.44,13.62,7.54,3.87,1.68,0,0,7.48,18.85,8.4,0,0,49.84,10.66,32.5
821.39,563.64,0,3.7,0,0,0,0.82,0,2.26,6.23,0,0,0,9.94,2.09,16.35,2.43,12.48,0,4.35,0,0.17,10.91,0,0,35.86,0,0.96
821.53,565.72,0,6.19,1.19,6.29,1.06,3.31,0,15.63,3.17,4.66,0,2.86,13.28,12.23,23.32,0.09,20.4,0,5.13,7.09,0.17,21.64,0,0,54.69,0.85,0
821.67,567.8,0,6.19,1.19,6.29,1.06,2.5,0,15.63,3.17,4.66,0,2.86,18.34,10.14,20.09,0.09,20.4,0,5.13,7.09,0,20.31,0,0,36.51,0.85,0
821.81,569.87,0,7.86,6.59,12.81,11.29,2.53,8.01,23.95,13.82,12.24,6.62,2.86,25.38,11.84,18.08,0.09,7.92,0,5.69,30.91,0,10.72,0,0,26.23,0.85,0
821.95,571.95,0,5.37,5.41,6.52,10.23,0.03,21.98,10.79,14.66,7.58,6.89,0,17.34,1.7,6.81,0,0,0,4.91,23.82,0,0,0,0,0,0,0
822.09,574.02,0,11.14,8.88,6.79,10.23,0.03,35.99,25.07,37.89,9.26,6.89,11.39,12.28,1.7,6.81,0,0,0,4.91,23.82,11.64,0,0,0,0,0,0
822.23,576.09,0,16.71,3.47,5.24,0,7.44,47.81,34.63,51.11,3.23,2.16,11.39,10.2,8.6,0,0,0.08,0,1.36,0,11.64,0,0,0,0,0,0
822.37,578.17,23.62,35.06,19.19,27.79,23.5,26.11,74.71,66.6,76.75,12.53,6.18,29.99,31.45,11.91,5.73,6.3,6.45,9.33,14.06,12.14,23.12,0,0,0,0,0,0
822.51,580.24,43.64,50.35,15.72,42.64,30.88,47.33,83.92,98.54,75.69,43.21,17.2,27.55,31.45,23.27,5.73,12.22,7.09,11.52,23.09,12.14,15.64,0,0,0,0,0,0
822.65,582.31,63.26,56.39,34.09,45.91,55.37,60.56,99.2,98.56,96.05,60.97,27.26,31.08,21.25,14.67,5.73,12.22,7.01,11.52,21.74,12.14,15.69,0,0,0,0,0,0
822.79,584.38,66.86,63.62,46.66,56.72,57.44,67.32,100.35,106.44,103.93,77.25,58.85,47.58,7.12,11.35,0,11.44,12.53,16.85,9.03,0,11.47,0,0,0,0,0,0
822.93,586.45,82.09,59.82,58.98,67.5,65.5,84.39,123.13,88.62,106.45,69.5,90.4,65.05,12.25,0,0,5.53,16.64,37.44,6.07,16.05,13.88,0,0,0,0,0,0
823.07,588.51,86.07,61.43,70.6,82.37,73.98,96.88,130.99,97.88,93.05,77.17,103.37,99.27,23.71,16.16,0.54,13.13,38.25,55.35,18.41,24.35,25.36,0,0,0,0,0,0
823.21,590.58,73.57,52.91,53.09,58.11,63.66,92.91,120.39,79.34,75.85,73.69,80.87,83.01,32.8,25.74,3.5,7.6,26.36,47.15,18.41,33.68,20.71,0,0,0,0,0,0
823.35,592.64,48.94,42.25,52.43,39.38,61.55,76.8,86.97,65.32,68.17,56.74,40.89,56.59,34.74,25.74,9.96,14.86,21.6,24.36,12.35,41.75,14.14,0,0,0,0,0,0
823.49,594.71,25.34,23.64,23.74,16.97,28.59,44.01,43.99,43.61,37.46,33.42,15.96,18.84,23.28,9.58,9.42,7.25,0,6.45,0,34.46,10.64,11.99,0,0,8.04,0,0
823.63,596.77,10.61,6.6,17.81,11.64,19.55,36.31,25.3,26.32,18.33,11.32,2.59,0,9.59,0,6.47,7.25,0,0,0,25.13,8.03,39.76,0,0,30.93,0,2.01
823.77,598.83,0,0,6.15,7.74,6.22,14.11,12.71,11.93,1.32,3.66,0,0,2.52,0,0,0,0,0,0,1.01,8.03,39.76,0,0,36.09,0,18.11
823.91,600.89,0,0,4.84,7.04,6.22,13.75,12.71,4.23,0,0,0,0,2.52,0,0,0,0,0,0,0,0,27.77,0,0,28.05,0,20.5
824.05,602.95,5.81,8.08,5.48,13.99,4.13,0,0,0,0,0,6.76,0,0,0,0,0,0,0,0,0,0,16.8,0,0,23.6,15.15,18.49
824.19,605.01,5.81,8.08,5.48,10.71,4.13,0,0,0,0,0,6.76,0,0,0,0,0,0,0,0,0,0,16.8,0,0,18.43,15.61,2.39
824.33,607.07,5.81,8.08,6.5,10.71,4.13,0,0,5.04,0,0,6.76,0,0,0,0,0,0,0,0,0,0,26.58,6.04,13.92,27.95,41.37,43.76
824.47,609.13,0,0,1.02,0,0,0,0,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,49.59,19.15,37.65,16.43,61.15,109.45
824.61,611.18,0,0,1.02,0,0,0,0,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,99.64,77.54,73.75,57.96,120.66,186.26
824.75,613.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,5.02,0,146.11,117.15,113.61,91.56,179.58,225.09
824.89,615.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,5.02,0,158.11,144.95,127.66,114.65,244.67,266.11
825.03,617.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,5.02,0,146.83,136.81,122.44,112.14,283.83,244.87
825.17,619.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.52,129.31,103.86,83.91,294.96,254.94
825.31,621.45,0,0,0,0,3.32,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,143.94,159.88,119.34,67.41,299.48,241.08
825.45,623.5,0,0,0,0,3.32,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,144.99,162.75,128.46,28.39,267.3,272.53
825.59,625.55,4.5,0,0,0,3.32,4.44,5.98,0,1.74,0,0,0,0,0,0,0,0,0,0,0.47,0,171.33,193.24,163.2,13.51,247.75,253.28
825.73,627.6,4.5,0,0,0,0,0,5.98,0.26,1.74,0,0,0,0,0,0,0,0,0,7.09,5.06,0,132.75,186.81,171.02,0,236.93,275.44
825.87,629.64,4.5,0,0,0,0,0,5.98,0.26,1.74,0,0,0,0,0,0,0,0,0,8.8,15.07,0.01,174.12,204.35,224.47,0,294.4,305.24
