WP-00790,,PS0.1ppm,PS0.5ppm,PS1ppm,PS5ppm,PS10ppm,PS50ppm,PS100ppm,PS200ppm
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
854.49,1035.27,0,2.11,0,13.09,0,0,0,0
854.63,1037.11,0,2.11,0,0.04,0,0,0,0
854.76,1038.94,0,1.79,0,10.14,0,0,0,0
854.89,1040.77,0,0,0,10.09,0,0,0,0
855.03,1042.6,0,0,0,10.09,0,0,0,0
855.16,1044.43,0,0,0,0,0,0,0,0
855.3,1046.26,0,0,0,0,0,0,0,0
855.43,1048.09,0,0,0,0,0,0,0,0
855.56,1049.92,0,0,0,0,0,0,0,0
855.7,1051.75,0,0,0,0,0,0,0,0
855.83,1053.57,0,0,0,0,0,0,0,0
855.96,1055.4,0,0,0,0,0,0,0,0
856.1,1057.22,0,0,0,0,0,0,0,0
856.23,1059.04,0,0,0,0,0,0,0,0
856.37,1060.86,0,0,0,0,0,0,0,0
856.5,1062.68,0,0,0,0,0,0,0,0
856.63,1064.5,0,0,0,0,0,0,0,0
856.77,1066.32,0,0,0,0,0,0,0,0
856.9,1068.14,0,0,0,0,0,0,0,0
857.03,1069.96,0,0,0,0,0,0,0,0
857.17,1071.77,0,0,0,0,0,0,0,0
857.3,1073.58,0,0,0,1.52,0,0,0,0
857.43,1075.4,0,0,0,1.52,0,0,0,0
857.57,1077.21,0,0,0,1.52,0,0,0,0
857.7,1079.02,0,0,0,0,0,0,0,0
857.83,1080.83,0,0,0,0,0,0,0,0
857.97,1082.64,0,0,0,0,0,0,0,0
858.1,1084.45,0,0,0,0,0,0,0,0
858.23,1086.26,0,0,0,0,0,0,0,0
858.36,1088.06,0,0,0,0,0,0,0,0
858.5,1089.87,0,0,0,0,0,0,0,0
858.63,1091.67,0,13.19,0,0,0,0,0,0
858.76,1093.48,0,13.19,0,0,0,0,0,0
858.9,1095.28,0,13.19,0,0,0,0,0,0
859.03,1097.08,0,0,0,0,0,0,0,0
859.16,1098.88,0,0,0,0,0,0,0,0
859.3,1100.68,0,0,0,0,0,0,0,0
859.43,1102.48,0,0,0,0,0,0,0,0
859.56,1104.27,0,0,0,0,0,0,0,0
859.69,1106.07,0,0,0,0,0,0,0,0
859.83,1107.86,0,0,0,0,0,0,0,0
859.96,1109.66,0,0,0,0,0,0,0,0
860.09,1111.45,0,0,0,0,0,0,0,0
860.22,1113.24,0,0,0,0,0,0,0,0
860.36,1115.03,0,0,0,0,0,0,0,0
860.49,1116.82,0,0,0,0,0,0,0,0
860.62,1118.61,0,0,0,0,0,0,0,0
860.75,1120.4,0,0,0,0,0,0,0,0
860.89,1122.19,0,0,0,0,0,0,0,0
861.02,1123.97,0,0,0,0,0,0,0,0
861.15,1125.76,0,0,0,0,0,0,0,0
861.28,1127.54,0,0,0,0,0,0,0,0
861.42,1129.33,0,0,0,0,0,0,0,0
861.55,1131.11,0,0,0,0,0,0,0,0
861.68,1132.89,0,0,0,0,0,0,0,0
861.81,1134.67,0,0,0,0,0,0,0,0
861.94,1136.45,0,0,0,0,0,0,0,0
862.08,1138.23,0,0,0,0,0,0,0,0
862.21,1140,0,0,0,0,0,0,0,0
862.34,1141.78,0,0,0,0,0,0,0,0
862.47,1143.55,0,0,0,0,0,0,0,0
862.6,1145.33,0,0,0,0,0,0,0,0
862.74,1147.1,0,0,0,0,0,0,0,0
862.87,1148.87,0,0,0,0,0,0,0,0
863,1150.64,0,0,0,0,0,0,0,0
863.13,1152.41,0,0,0,0,0,0,0,7.55
863.26,1154.18,0,0,0,0,0,0,0,7.55
863.4,1155.95,0,0,0,0,0,0,0,7.55
863.53,1157.72,0,0,0,4.71,0,0,0,0.19
863.66,1159.48,0,0,0,4.71,0,0,0,0.42
863.79,1161.25,0,0,0,4.71,0,12.12,0,0.42
863.92,1163.01,0,0,0,0,0,17.77,0,0.23
864.05,1164.77,0,0,0,0,0,17.77,0,0
864.19,1166.53,0,0,0,0,0,12.31,0,0
864.32,1168.3,0,0,0,0,0,21.51,0,17.21
864.45,1170.06,0,0,0,0,0,21.51,0,31.49
864.58,1171.81,0,0,0,0,0,52.22,0,69.63
864.71,1173.57,0,0,0,0,0,76.7,9.14,71.68
864.84,1175.33,0,0,0,0,0,112.53,32.58,109.01
864.97,1177.08,0,0,0,0,0,90.97,80.47,164.97
865.11,1178.84,0,0,0,0,0,105.61,113.16,233.78
865.24,1180.59,0,0,0,0,0,92.34,134.61,282.32
865.37,1182.34,0,0,0,0,0,112.95,116.61,283.71
865.5,1184.1,0,0,0,0,0,77.09,92.5,276.95
865.63,1185.85,0,0,0,0,0,54.52,47.6,223.8
865.76,1187.6,0,0,0,0,0,23.96,17.7,174.28
865.89,1189.35,0,0,0,0,0,5.86,0,97.27
866.02,1191.09,0,0,0,0,0,5.86,0,50.26
