WP-00790,,PMMA0.1ppm,PMMA0.5ppm,PMMA1ppm,PMMA5ppm,PMMA10pmm,PMMA50ppm,PMMA100ppm,PMMA200ppm
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
859.43,1102.48,0,0,0,0,0,754.9,41.09,534.08
859.56,1104.27,0,0,0,0,0,720.74,30.26,512.55
859.69,1106.07,0,0,0,0,0,660.58,6.46,472.62
859.83,1107.86,0,0,0,0,0,639.85,4.26,488.74
859.96,1109.66,0,0,0,0,0,597.1,4.26,474.8
860.09,1111.45,0,0,0,0,0,642.8,6.48,512.58
860.22,1113.24,0,0,0,0,0,706.48,3.15,512.3
860.36,1115.03,0,0,0,0,0,751.81,6.85,509.62
860.49,1116.82,0,0,0,0,0,768.03,3.7,505.1
860.62,1118.61,0,0,0,0,0,712.23,5.45,483.18
860.75,1120.4,0,0,0,0,0,677.31,1.75,490.76
860.89,1122.19,0,0,0,0,0,695.6,1.75,492.5
861.02,1123.97,0,0,0,0,0,713.77,0,506.39
861.15,1125.76,0,0,0,0,0,746.25,4.11,488.89
861.28,1127.54,0,0,0,0,0,720.84,4.11,476.44
861.42,1129.33,0,0,0,0,0,716.75,12.1,493.26
861.55,1131.11,0,0,0,0,0,705.42,7.99,523.12
861.68,1132.89,0,0,0,29.02,0,733.18,62.35,562.7
861.81,1134.67,0,0,0,50.82,6.45,801.38,86.21,608.66
861.94,1136.45,0,0,0,50.82,7.67,812.12,99.55,633.44
862.08,1138.23,0,0,0,69.04,31.05,814.62,87.71,637.94
862.21,1140,0,0,0,118.87,31.3,802.11,85.68,582.37
862.34,1141.78,0,0,0,163.99,86.8,849.58,107.14,587.4
862.47,1143.55,0,0,0,176.52,87.32,896.82,87.53,577.82
862.6,1145.33,0,0,0,190.9,117.65,937.26,100.29,591.05
862.74,1147.1,0,0,0,173.47,78.12,919.57,138.08,655.44
862.87,1148.87,0,0,0,141.1,62.62,891.98,146.48,681.88
863,1150.64,0,0,0,184.25,41.93,848.92,147.24,711.8
863.13,1152.41,0,0,0,210.24,24.74,838.07,110.37,648.88
863.26,1154.18,0,0,0,239.76,29.66,837.09,126.55,630.12
863.4,1155.95,0,0,0,165.56,13.33,804.1,97.87,603.62
863.53,1157.72,0,0,0,195.44,39.51,793.19,92.12,608.83
863.66,1159.48,0,0,0,225.84,26.18,728.16,82.74,586.86
863.79,1161.25,0,0,0,203.31,66.74,734.55,79.95,566.27
863.92,1163.01,0,0,0,187.08,80.04,681.25,69.65,536.94
864.05,1164.77,0,0,0,167.69,139.5,709.82,61.05,559.76
864.19,1166.53,0,0,0,195.27,139.54,726.04,82.93,537.18
864.32,1168.3,0,0,0,212.26,159.28,765.68,82.4,535.65
864.45,1170.06,0,0,0,202.66,154.73,729.08,86.47,468.15
864.58,1171.81,0,0,0,233.57,180.65,705.01,67.57,478.14
864.71,1173.57,0,0,0,239.34,156.05,694.14,59.04,456.61
864.84,1175.33,0,0,0,292.96,144.27,707.46,29.22,464.24
864.97,1177.08,0,0,0,292.99,140.52,678.54,36.32,477.23
865.11,1178.84,0,0,0,277.43,136.15,668.71,44.01,493.27
865.24,1180.59,0,0,0,237.28,138.48,701.63,43.29,507.34
865.37,1182.34,0,0,0,285.65,139.96,729.42,28.94,488.9
865.5,1184.1,0,0,0,296.31,164.7,718.85,10.63,478.38
865.63,1185.85,0,0,0,299.84,183.26,671.47,9.13,419.01
865.76,1187.6,0,0,0,204.88,156.63,553.62,1.51,354.46
865.89,1189.35,0,0,0,153,101.64,449.52,1.51,224.28
866.02,1191.09,0,0,0,79.09,37.63,242.72,0,126.99
866.15,1192.84,0,0,0,34.7,8.46,116.28,0,33.51
