wavenumber,PS 0.1ppm-1,PS 0.1ppm-2,PS 0.1ppm-3,PS 0.5ppm-1,PS 0.5ppm-2,PS 0.5ppm-3,PS 1.0ppm-1,PS 1.0ppm-2,PS 1.0ppm-3,PS 5ppm-1,PS 5ppm-2,PS 5ppm-3,PS 10ppm-1,PS 10ppm-2,PS 10ppm-3,PS 50ppm-1,PS 50ppm-2,PS 50ppm-3,PS 100ppm-1,PS 100ppm-2,PS 100ppm-3,PS 200ppm-1,PS 200ppm-2,PS 200ppm-3
509.25,0,12.83,15,0,0,13.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511.36,7.03,6.42,4.44,0,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513.46,12.94,6.42,14.97,13.07,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515.56,12.94,10.08,10.54,13.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517.66,5.91,3.66,10.54,13.07,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519.77,0,3.66,0,0,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521.86,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528.16,13.04,8.07,35,31.1,15.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530.25,13.04,12.26,35,32.06,15.21,34.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532.35,35.84,29.89,39.25,49.16,15.77,56.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534.44,54.61,23.53,28.94,29.59,19.73,56.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536.53,87.2,41.9,64.48,53.69,33.58,30.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538.62,71.2,24.27,62.71,36.59,33.03,8.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540.71,39.39,30.08,38.03,34.01,20.97,14.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542.8,28.95,7.52,7.81,8.96,24.46,18.02,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96,0,16.7,0,0
544.89,33.36,44.6,5.32,46.35,42.68,54.04,18.26,1.52,0,16.31,27.15,34.98,15.83,6.75,50.57,79.81,95.33,84.7,88.54,111.54,91.38,179.91,146.13,149.01
546.98,73.36,44.68,24.63,50.55,35.57,60.8,38.78,29.29,16.47,69.24,54.59,66.27,96.26,108.76,139.08,195.91,230.58,191.64,222.72,262.82,227.47,439.69,383.55,379.64
549.06,61,44.68,19.31,50.55,48.29,49.22,57.89,41.98,27.87,115.09,102.65,127.17,214.68,246.1,296.26,361.24,354.36,321.45,391.49,397.45,363.86,692.61,642.19,633.83
551.15,49.8,7.61,19.76,24.21,52.46,13.2,39.63,49.18,36.31,119.33,104.61,102.14,337.22,383.95,360.83,433.38,385.75,344.15,438.7,433.81,472.23,757.24,740.98,727.93
553.23,9.8,0,0.45,17.88,73.81,6.1,33.93,21.41,51.99,90.61,93.61,106.16,355.19,397.9,396.49,435.82,348.76,321.15,416.2,432.13,441.23,686.46,712.03,698.97
555.32,0,0,0.45,30.24,50.11,6.1,14.82,8.72,40.58,60.4,51.11,45.25,304.35,326.71,302.35,315.33,298.85,254.88,311.44,412.18,349.29,568.4,613.13,566.05
557.4,0,0,0,19.19,41.2,6.83,14.82,3.75,32.34,46.34,22.01,35.3,196.28,183.29,221.97,212.24,229.68,184.7,233.08,317.3,190.08,437.38,480.94,422.5
559.48,0,0,0,12.36,19.86,0.73,0,3.75,0.2,22.13,5.56,0,97.89,81.85,112.91,128.45,160.82,100.76,148.35,178.38,134.5,329.31,350.35,316.9
561.56,0,0,0,0,13.48,0.73,0,9.17,0.43,6.49,0,3.19,65.78,48.72,58.17,131.63,129.92,67.18,138.26,140.76,125.88,283.18,284.04,298.57
563.64,0,0,0,0,0,4.94,19.51,13.16,0.23,26.59,17.57,3.19,85.45,103.7,79.2,165.77,133.66,64.57,170.47,161.78,173.23,324.99,331.01,345.18
565.72,0,0,0,0,0,4.94,22.78,13.66,0.23,36.84,17.57,4.64,124.73,152.34,127.88,150.44,143.6,83.54,212.87,197.65,190.42,360.31,377.81,364.29
567.8,0,0,0,0,0,4.94,22.78,8.24,0,36.84,17.57,1.46,89.25,119.31,119.58,112.86,108.29,53.58,184.69,138.93,154.59,355.36,339,313.79
569.87,0,0.17,6.95,0,43.16,11.89,3.27,0.5,0,10.25,15.88,1.46,39.29,63.15,69.36,29.85,47,18.97,121.48,70.85,66.69,257.36,214.82,197.25
571.95,0,0.17,6.95,0,43.16,11.89,0,0,0,0,15.88,0,0,0,5.57,10.43,7.67,0,52.12,24.3,0,151.2,90.13,84.88
574.02,0,18.58,13.14,0,43.16,11.89,0,0,0,0,15.88,0,0,0,5.57,0,0,0,26.39,0,0,50.73,35.51,32.45
576.09,0,18.41,6.19,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.09,0,2.8
578.17,20,21.68,12.59,9.91,13.72,15.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580.24,36.94,22.84,17.42,26.79,36.91,64.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582.31,53.35,56.92,35.62,39.5,114.09,74.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584.38,53.9,78.23,79.6,117.13,147.85,125.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586.45,40.09,88.5,95.22,146.34,155.88,135.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588.51,79.13,80.96,113.02,166.05,133.05,164.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
