wavenumber,PMMA 10ppm-1,PMMA 10ppm-2,PMMA 10ppm-3,PMMA 50ppm-1,PMMA 50ppm-2,PMMA 50ppm-3,PMMA 100ppm-1,PMMA 100ppm-2,PMMA 100ppm-3,PMMA 200ppm-1,PMMA 200ppm-2,PMMA 200ppm-3
1702.86,0,0,0,0,0,0,0,0,0,0,0,0
1704.28,0,0,0,0,0,0,0,0,0,0,0,0
1705.7,0,0,0,0,0,0,0,0,0,0,0,0
1707.12,0,0,0,0,0,0,0,0,0,0,0,0
1708.54,0,0,0,0,0,0,0,0,0,0,0,0
1709.96,0,0,0,0,0,0,0,0,0,0,0,0
1711.38,0,0,0,0,0,0,0,0,0,0,0,0
1712.79,0,0,0,0,0,0,0,0,0,0,0,0
1714.21,0,0,0,0,0,0,0,0,0,0,0,0
1715.62,0,0,0,0,0,0,0,0,0,0,0,0
1717.04,0,0,0,0,0,0,0,0,0,0,0,0
1718.45,0,0,0,0,0,0,0,0,0,0,0,0
1719.86,0,0,0,0,0,0,0,0,0,0,0,0
1721.27,0,0,0,0,0,0,0,0,0,0,0,0
1722.68,0,0,0,0,0,0,0,0,0,0,0,0
1724.08,0,0,0,0,0,0,0,0,0,0,0,0
1725.49,0,0,0,0,0,0,0,0,0,0,0,0
1726.9,0,0,0,0,0,0,0,0,0,0,0,0
1728.3,0,0,0,0,0,0,0,0,0,0,0,0
1729.71,0,0,0,0,0,0,0,0,0,0,0,0
1731.11,0,0,0,0,0,0,0,0,0,0,0,0
1732.51,0,0,0,0,0,0,0,0,0,0,0,0
1733.91,0,0,0,0,0,0,0,0,0,0,0,0
1735.31,0,0,0,0,0,0,0,0,0,0,0,0
1736.71,0,0,0,0,0,0,0,0,0,0,0,0
1738.11,0,0,0,0,0,0,0,0,0,0,0,0
1739.51,0,0,0,0,0,0,0,0,0,0,0,0
1740.9,0,0,0,0,0,0,0,0,0,0,0,0
1742.3,0,0,0,0,0,0,0,0,0,0,0,0
1743.69,0,0,0,0,0,0,0,0,0,0,0,0
1745.08,0,0,0,0,0,0,0,0,0,0,0,0
1746.48,0,0,0,0,0,0,0,0,0,0,0,0
1747.87,0,0,0,0,0,0,0,0,0,0,0,0
1749.26,0,0,0,0,0,0,0,0,0,0,0,0
1750.65,0,0,0,0,0,0,0,0,0,0,0,0
1752.03,0,0,0,0,0,0,0,0,0,0,0,0
1753.42,0,0,0,0,0,0,0,0,0,0,0,0
1754.81,0,0,0,0,0,0,0,0,0,0,0,0
1756.19,0,0,0,0,0,0,0,0,0,0,0,0
1757.58,0,0,0,0,0,0,0,0,0,0,0,0
1758.96,0,0,0,0,0,0,0,0,0,0,0,0
1760.34,0,0,0,0,0,0,0,0,0,0,0,0
1761.72,0,0,0,0,0,0,0,0,0,0,0,0
1763.1,0,0,0,0,0,0,0,0,0,0,0,0
1764.48,0,0,0,0.37,0,0,0,0,0,0,0,0
1765.86,0,0,0,0.37,0,0,0,0,0,0,0,0
1767.24,0,0,0,0.37,0,0,0,0,0,0,0,0
1768.61,0,0,0,0,0,0,0,0,0,0,0,0
1769.99,0,0,0,0,0,0,0,0,0,0,0,0
1771.36,0,0,0,0,0,0,0,0,0,0,0,0
1772.73,0,0,0,10.58,11.41,0,9.04,0,0.93,0,0,0
1774.1,0,0,0,10.76,11.41,10.67,12.63,5.25,0.93,0,0,0
1775.48,0,0,0,37.71,19.32,37.09,21.27,22.84,24.69,0,0,0
1776.85,0,0,0,27.14,25.04,37.09,12.23,35.5,23.76,0,0,0
1778.21,4.62,0,0,62.63,38.8,58.2,22.55,59.69,70.69,0,0,0
1779.58,4.62,0,0,69.85,60.21,74.72,43.91,57.93,46.93,0,0,0
1780.95,4.62,0,0,75.58,68.02,90.88,61.72,62.88,46.93,0,0,0
1782.32,9.29,3.58,14.03,51.59,70.89,70.21,80.5,46.21,27.08,0,0,0
1783.68,9.29,3.58,14.03,39.87,53.37,44.17,61.2,43.48,36.65,0,0,0
1785.04,9.47,3.58,14.03,50.65,39.36,40.63,52.05,25.87,65.32,0,0,0
1786.41,0.18,0,0,63.37,47.28,59.05,40.49,36.22,66.5,0,0,0
