wavenumber,PLA 5ppm-1,PLA 5ppm-2,PLA 5ppm-3,PLA 10ppm-1,PLA 10ppm-2,PLA 10ppm-3,PLA 50ppm-1,PLA 50ppm-2,PLA 50ppm-3,PLA100ppm-3,PLA100ppm-2,PLA100ppm-1,PLA 200ppm-1,PLA 200ppm-2,PLA 200ppm-3,PLA 300ppm-1,PLA 300ppm-2,PLA 300ppm-3,PLA 400ppm-1,PLA 400ppm-2,PLA 400ppm-3,PLA 500ppm-1,PLA 500ppm-2,PLA 500ppm-3,PLA600ppm-3,PLA600ppm-2,PLA600ppm-1
1651.01,0,5.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1652.46,0,5.61,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653.92,0,5.61,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1655.38,2.6,0.63,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1656.83,2.6,0.63,20.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1658.29,2.6,5.22,12.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1659.74,0,18,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1661.19,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1662.64,0,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1664.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1665.54,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1666.99,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1668.44,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1671.33,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1672.77,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1674.21,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1675.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1677.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1678.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1679.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46,0,0,0
1681.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46,0,0,0
1682.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46,0,0,0
1684.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0
1685.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,0,0.7,0,0,0,0
1687.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,0,0.7,0,0,0,0
1688.59,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,1.94,0.02,5.77,16.72,0,0,0
1690.02,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0.02,5.77,16.72,0,0,0
1691.45,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,3.36,0,0.02,11.65,22.1,0,0,0
1692.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,0,3.87,5.88,5.39,0,0,0
1694.31,4.6,0,7.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.38,15.85,5.42,25.13,27.76,10,0,0,0
1695.74,4.6,0,7.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.38,12.49,5.42,25.13,21.88,4.61,0,0,0
1697.16,4.6,0,7.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.44,12.49,6.81,39.63,21.88,8.33,0,0,0
1698.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06,0,1.39,18.37,0,6.54,0,0,0
1700.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06,0.84,6.4,39.85,4.98,14.37,0,0.67,0
1701.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,5.01,25.45,4.98,18.46,0,0.67,0
1702.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,5.01,25.45,4.98,15.64,0,0.67,0
1704.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,6.23,19.39,0,0,0
1705.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.95,11.58,0,0,0
1707.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,20.95,11.58,0,0,0
1708.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,5.58,14.72,0,0,0,0
1709.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,1.27,5.58,0,0,0,0,0
1711.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,1.27,4.26,0,0,0,0,0
1712.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0.17,0,3.83,0,0,0
1714.21,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,0,3.83,0,0,0
1715.62,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52,0,11.61,0,0,0
1717.04,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52,0.8,7.78,0,0,0
1718.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0.8,7.78,0,0,0
1719.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0.4,0,3.58,4.44,0,0,0,0
1721.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0.4,0,6.41,3.64,0,0,0,0
1722.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0.4,0,9.04,8.88,0,0,0,0
1724.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,20.44,5.24,0,0,0,0
1725.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,7.15,17.61,7.97,4.91,0,0,0
1726.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,7.15,23.67,2.73,4.91,0,0,0
1728.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.15,22.93,13.71,4.91,0,0.86,0
1729.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.93,20.65,0,0,0.86,0
1731.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.63,23.65,9.64,0,0.86,0
1732.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,0,6.31,12.32,20.69,20.57,0,2.79,0
1733.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,0,6.31,12.32,18.16,20.57,0,2.79,0
1735.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.02,0,6.31,28.67,25.51,29.09,1.22,2.79,0
1736.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.79,0,1.34,21.89,35.08,51.16,1.22,5.55,0
1738.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.79,0,1.34,33.49,32.75,51.16,1.22,5.55,0
1739.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,3.37,6.87,12.88,33.42,56.66,13.07,32.99,14.36
1740.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,5.53,12.08,32.3,23.66,13.07,38.04,14.36
1742.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,5.53,13.38,36.95,44.64,13.67,68.02,25.15
1743.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.24,13.99,12.42,36.05,51.37,42.56,24.24,87.25,38.22
1745.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.76,15.92,19.09,38.22,45.56,66.96,41.46,104.24,42.84
1746.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.76,27.9,19.09,64.39,52.74,57.31,65.77,103.55,55.65
1747.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,13.92,9.39,80.87,38.58,69.65,47.73,82.84,65.11
1749.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,10.48,99.13,74.19,81.1,46.45,80.22,89.99
