wavenumber,PMMA10ppm-1,PMMA10ppm-2,PMMA10ppm-3,PMMA50ppm-1,PMMA50ppm-2,PMMA50ppm-3,PMMA100ppm-1,PMMA100ppm-2,PMMA100ppm-3,PMMA200ppm-1,PMMA200ppm-2,PMMA200ppm-3
732.7,28.1,22.73,32.2,38.43,39.05,23.06,176.18,228.68,111.81,13.83,49.07,47.71
734.69,23.85,27.51,26.64,25.89,29.8,25.56,154.15,196.36,90.88,19.31,41.23,33.09
736.69,36.04,21.08,6.77,8.01,27.31,31.84,142.24,133.83,73.73,10.06,39.48,39.9
738.68,39.59,28.74,13.08,6.9,15.83,30.9,138.46,123.4,73.36,10.06,20.74,30.8
740.67,26.33,14.79,12.52,14.78,14.22,19.06,112.48,126.1,82.44,0,11.98,24.58
742.66,5.65,17.79,20.27,8.93,15.17,3.76,80.4,103.69,70.41,0,13.98,4.83
744.65,9.38,16.55,13.95,11.25,15.67,2.97,47.44,100.73,82.84,0,13.98,0
746.64,7.28,16.55,7.75,12.12,9.35,1.6,37.06,88.66,69.49,0,13.98,0
748.63,10.98,11.65,16.84,19.16,2.06,0.74,7.06,81.04,71.93,5.9,0,0
750.61,3.69,14.85,16.84,15.8,13.22,3.94,29.6,83.88,71.15,5.9,17.71,0
752.6,6.23,20.76,27.22,14.55,34.29,22.92,49.82,58.05,93.71,11.86,19.39,23.15
754.58,13.95,17.39,10.38,7.51,45.99,34.72,66.35,78.12,112.83,5.96,20.83,33.36
756.57,16,12.69,16.28,15.13,47.92,43.07,53.04,93.75,142.18,25.64,9.76,55.05
758.55,18.16,14.88,5.91,12.54,31.39,37.98,60.3,120.95,97.94,19.68,27.23,31.9
760.53,26.31,38.19,37.35,40.62,20.87,52.88,83.92,122.48,95.53,50.75,59.37,53.59
762.51,24.26,49.49,39.64,39.14,20.79,41.33,71.32,136.14,90.24,38.64,72.94,38.06
764.49,26.63,54.56,46.94,52.76,16.24,35.12,58.86,118.24,120.89,38.64,59.94,51.48
766.47,21.67,45.96,21.67,45.71,31.93,15.25,43.07,131.02,147.72,23.3,43.61,50.37
768.45,21.67,38.69,21.07,45,23.96,15.25,86.97,116.15,158.23,47.29,36.6,63.26
770.42,30.7,48.09,30.46,45.62,36.89,15.03,131.88,122.61,173.75,68.38,56.92,92.48
772.4,24.62,46.71,38.08,69.8,39.48,14.38,163.7,146.64,190.16,96.91,64.46,103.58
774.37,52.67,55.1,41.14,89.75,56.84,40.51,185.97,223.12,222.37,115.89,88.77,129.12
776.34,52.93,46.38,40.08,90.26,58.42,49.86,195.49,304.5,274.47,124.41,96.63,123.88
778.32,58.07,47.88,36.58,55.32,46.22,65.42,198.91,271.78,245.47,100.16,80.04,121.19
780.29,40.98,48.16,57.53,49.5,38.14,65.1,222.78,235.52,261.25,92.68,90.56,144.28
782.26,32.23,44.44,60.14,62.34,60.06,66.78,214.35,208.93,199.38,94.86,89.08,145.36
784.23,35.15,49.71,59.08,81.85,72.31,68.79,219.92,248.35,237.86,125.04,118.59,151.78
786.19,43.73,47.32,35.02,87.03,72.23,52.47,183.52,230.44,206.01,144.89,127.1,127.52
788.16,63.87,39.81,37.52,97.44,62.38,70.38,190.35,221.44,240.39,165.95,163.83,151.49
790.13,67.45,44.75,36.12,92.29,56.97,60.4,177.97,195.89,203.56,200.46,183.66,156.23
792.09,72.8,51.13,62.84,100.25,77.68,87.53,237.06,254.47,248.19,207.75,191.61,180.09
794.06,64.5,57.85,58.22,75.55,78.39,54.33,230.82,255.06,247.49,212.7,180.56,168.94
796.02,73.41,56.79,81.16,83.41,88.99,57.36,279.83,294.54,269.03,203.55,208.39,201.68
797.98,61.21,38.28,54.99,65.16,64.48,22.94,250.41,235.26,238.14,226.28,219.78,208.31
799.94,84.46,76.88,75.93,92.36,67.76,75.64,303.11,281.44,324.7,304.79,302.28,282.05
801.9,75.26,66.37,70.75,94.78,81.93,73.23,343.72,363.52,396.83,372.52,362.33,333.35
803.86,111.95,105.75,117.8,152.1,125.65,140.72,454.57,482.83,505.86,492.48,510.61,478.88
805.82,107.31,81.79,119.19,162.76,164.38,152.87,579.43,583.16,603.57,623.77,647.56,601.4
807.78,121.67,121.51,147.24,204.08,218.12,223.36,728.65,730.5,773.63,797.07,861.84,804.26
809.73,138.48,139.33,156.06,228.52,248.64,255.64,868.66,869.97,903.14,959.81,1011.23,946.9
811.69,164.95,179.82,175.23,245.3,256.5,286.25,936.68,947.11,971.67,1064.56,1119.96,1084.88
813.64,186.65,192.53,185.61,270.64,249.25,287.76,919.61,896.49,949.1,1061.87,1085.58,1073.41
815.6,145.68,178.25,160,240.32,217.67,255.93,780.56,796.22,839.88,889.17,921.54,937.62
817.55,122.15,154.74,124.83,242.12,206.88,217.56,630.97,695.74,696.45,699.27,706.61,742.94
819.5,96.85,127.12,100.88,195.81,161.98,190.42,497.95,572.17,537.59,512.59,514.23,562.82
821.45,110.33,120.62,90.72,176.62,148.2,154.06,441.73,487.39,454.19,433.35,425.31,453.48
823.4,76.36,91.67,82.11,122.99,108.31,95.26,363.08,346.18,394.02,328.02,331.62,344.7
825.35,63.62,53.39,55.39,92.59,80.32,48.69,305.33,281.54,340.76,255.24,274.48,272.15
827.29,44.1,43.88,49.56,58.08,64.56,37.01,272.5,224.13,304.74,211.03,231.9,248.5
829.24,37.08,37.05,54.06,47.25,43.8,52.01,251.01,233.75,262.4,174.49,214.67,227.19
831.18,39.9,57.77,67.24,46.76,44.72,64.35,259.87,252.37,293.74,175.96,215.1,242.88
833.13,20.71,31.71,52.52,34.57,42.1,51.47,247.2,274.8,279.54,135.54,206.65,206.35
835.07,30.37,40.21,47.03,37.09,58.7,47.82,251.43,311.46,284.58,128.69,208.77,199.39
837.01,45.64,59.49,38.32,33.74,63.08,63.29,290.46,321.92,290.08,144.63,210,185.22
