wavenumber,PS_PE 50ppm-1,PS_PE 50ppm-2,PS_PE 50ppm-3,PS_PE 100ppm-1,PS_PE 100ppm-2,PS_PE 100ppm-2,PS_PE 200ppm-1,PS_PE 200ppm-2,PS_PE 200ppm-3
1051.75,0,0,0,0,0,0,0,0,0
1053.57,0,0,0,0,0,0,0,0,0
1055.4,0,0,0,0,0,0,69.09,79.31,46.21
1057.22,0,0,0,0,0,0,256.53,269.3,223.35
1059.04,0,0,0,0,0,0,575.8,558.1,525.88
1060.86,0,0,0,0,0,0,863.37,842.97,857.51
1062.68,0,0,0,0,0,0,1002.68,973.25,991.21
1064.5,0,0,0,0,0,0,850.4,841.27,867.65
1066.32,0,0,0,0,0,0,568.08,524.92,523.06
1068.14,0,0,0,0,0,0,241.32,204.65,212.22
1069.96,0,0,0,0,0,0,74.34,47.84,33.24
1071.77,0,0,0,0,0,0,0,0,0
1073.59,0,0,0,0,0,0,0,0,0
1075.4,0,0,0,0,0,0,0,0,0
1077.21,0,0,0,0,0,0,0,0,0
1079.02,0,0,0,0,0,0,0,0,0
1080.83,0,0,0,0,0,0,0,0,0
1082.64,0,0,0,0,0,0,0,0,0
1084.45,0,0,0,0,0,0,0,0,0
1086.26,0,0,0,0,0,0,0,0,0
1088.06,0,0,0,0,0,0,0,0,0
1089.87,0,0,0,0,0,0,0,0,0
1091.67,0,0,0,0,0,0,0,0,0
1093.48,0,0,0,0,0,0,0,0,0
1095.28,0,0,0,0,0,0,0,0,0
1097.08,0,0,0,0,0,0,0,0,0
1098.88,0,0,0,0,0,0,0,0,0
1100.68,0,0,0,0,0,0,0,0,0
1102.48,0,0,0,0,0,0,0,0,0
1104.27,0,0,0,0,0,0,0,0,0
1106.07,0,0,0,0,0,0,0,0,0
1107.86,0,0,16.01,0,0,0,0,0,0
1109.66,0,0,33.12,0,0,0,0,0,0
1111.45,0,0,84.03,0,0,0,0,0,0
1113.24,0,11.98,141.99,0,0,0,0,0,0
1115.03,0,12.29,248.69,0,0,0,0,0,0
1116.82,19.69,75.85,336.69,0,0,0,0,0,0
1118.61,53.91,97.26,457.33,0,0,0,0,0,0
1120.4,126.11,178.3,490.27,0,0,0,0,0,0
1122.19,202.52,230.31,569.85,0,0,0,55.47,57.66,82.65
1123.97,261.22,350.95,595.39,0,0,0,217.27,191.31,234.54
1125.76,332.67,440.34,701.69,0,0,4.18,539.32,477.53,533.94
1127.54,421.64,529.24,811.51,0,79.09,69.18,869.5,808.69,871.2
1129.33,532.24,612.12,938.3,3.02,152.08,115.07,1117.31,1057.79,1149.43
1131.11,621.25,726.41,1066.17,76.93,248.03,207.75,1100.17,1064.97,1180.38
1132.89,739.77,853.88,1151.57,176.94,340.41,299.81,921.55,882.99,999.18
1134.67,889.82,982.55,1289.83,319.43,423.81,492.24,652.11,622.18,731.5
1136.45,995.95,1065.63,1391.5,366.52,486.14,563.58,414.4,355.11,480.88
1138.23,1070.82,1146.79,1486.26,443.18,492.38,604.19,245.75,188.77,288.99
1140,1079.09,1181.69,1500.43,452.09,615.55,616.05,122.83,74.5,140.84
1141.78,1094.78,1233.01,1532.35,572.25,688.3,663.17,99.98,65.29,104.75
1143.55,1099.32,1225.85,1556.47,570.09,757.08,739.65,77.98,41.93,93.84
1145.33,1099.05,1227.88,1573.44,627.97,665.89,761.17,99.48,84.07,149.44
1147.1,1125.08,1175.55,1537.06,596.31,643.18,810.83,106.93,119.5,166.99
1148.87,1082.18,1144.3,1464.76,608.23,613.72,793.75,168.45,150.66,197.94
1150.64,1070.92,1087.34,1430.09,574.62,595.39,774.14,206.92,188.77,191.52
1152.41,997.29,1061.7,1409.4,547.14,562.88,721.68,245.01,231.83,231.71
1154.18,997.96,1067.35,1397.02,538.46,526.5,698.36,280.05,261.85,248.86
1155.95,972.04,1036.42,1354.38,506.03,490.37,648.29,278.15,225.93,300.07
1157.72,950.53,1018.56,1268.83,424.51,475.16,652.14,252.98,214.74,301.34
1159.48,854.54,928.9,1161.14,355.01,394.64,617.35,196.32,172.05,296.46
1161.25,723.41,859.76,1016.98,268.19,358.82,601.93,137.5,146.21,241.42
1163.01,630.13,757.82,889.35,218.74,305.69,491.87,121.85,102.54,210.22
1164.77,567.04,651.73,757.58,198.3,282.92,429.83,109.71,141.04,226.86
1166.54,514.92,557.95,639.12,166.99,236.95,362.61,136.52,180.49,267.11
1168.3,457.1,489.8,549.29,115.95,263.78,333.85,140.94,211.56,299.32
1170.06,388.58,417.29,468.78,78.24,214.08,257.57,116.64,188.57,282.48
1171.81,311.8,361.86,405.68,50.11,202.3,187.54,73.34,122.95,214.7
1173.57,253.65,288.73,308.22,50.11,85.31,109.97,19.83,51.14,118.54
1175.33,192.92,230.68,263.85,0,125.24,49.34,0,0,47.77
1177.08,228.6,185.39,242.56,6.46,136.41,92.27,0,33.51,60.4
1178.84,210.57,162.06,264.58,14.58,126.72,154.35,15.33,81.11,131.98
1180.59,228.96,193.14,268.69,27.08,72.6,204.98,15.33,112.49,191.95
1182.34,187.1,208.31,275.54,72.16,58.39,176.88,15.33,112.36,149.98
1184.1,184.75,163,252.6,64.05,79.21,132.13,0,64.76,70.89
1185.85,117.49,77.87,186.4,51.54,65.73,81.5,0,33.39,2.76
1187.6,59.32,11.73,91.07,0,28.43,17.33,0,0,0
1189.35,3.57,0,25.02,0,0,0,0,0,0
1191.09,0,0,3.56,0,0,0,0,0,0
1192.84,0,0,0,0,0,0,0,0,0
1194.59,0,0,0,0,0,0,0,0,0
1196.33,0,0,0,0,0,0,0,0,0
1198.07,0,0,0,0,0,0,0,0,0
1199.82,0,0,0,0,0,0,0,0,0
1201.56,0,0,0,0,0,0,0,0,0
1203.3,0,0,0,0,0,0,0,0,0
1205.04,0,0,0,0,0,0,0,0,0
1206.78,0,0,0,0,0,0,0,0,0
1208.51,0,0,0,0,0,0,0,0,0
1210.25,0,0,0,0,0,0,0,0,0
1211.98,0,0,0,0,0,0,0,0,0
1213.72,0,0,0,0,60.48,0,0,0,0
1215.45,0,0,0,0,60.48,0,0,0,0
1217.19,0,0,0,15.06,66.92,39.21,0,0,0
1218.92,0,0,0,15.06,6.44,46.3,0,0,0
1220.65,0,0,0,49.29,6.7,59.44,0,0,0
1222.38,0,0,0,34.22,19.5,49.73,0,0,0
1224.1,0,0,0,56.91,27.89,95.37,0,0,0
1225.83,0,0,0,22.68,74.58,116.91,0,0,0
1227.56,0,0,0,22.68,103.4,111.56,0,0,0
1229.28,0,0,0,0,95,113.45,0,0,0
1231.01,0,0,0,81.72,97.16,154.79,0,0,0
1232.73,0,0,0,154.25,96.88,189.02,0,0,0
1234.45,6.14,0,0,175.32,156.36,212.26,0,0,0
1236.18,24.86,0,11.25,128.18,173.08,179.84,0,0,0
1237.9,44.96,0,30.2,100.59,251.03,198.31,0,0,0
1239.61,63.66,17.44,31.22,188.56,243.54,165.67,0,0,0
1241.33,50.65,17.44,19.98,186.63,213.15,169.48,0,0,0
1243.05,46.06,43.3,11.71,207.25,150.66,162.85,0,0,0
1244.77,68.54,41.93,56.87,200.43,226.72,221.45,0,0,0
1246.48,123.44,82.66,84.67,273.16,330.33,274.93,0,0,0
1248.2,185.19,126.55,119.44,295.54,343.28,303.42,0,0,0
1249.91,195.01,170.53,110.3,298.14,314.78,316.79,0,0,0
1251.62,225.91,196.58,146.23,319.63,254.5,308.39,0,0,0
1253.33,223.78,198.61,158.15,352.55,304.32,364.76,0,0,0
1255.04,236.72,219.04,187.47,394.01,325.03,332.35,0,0,0
1256.75,233.07,226.89,166.22,419.36,374.96,329.16,0,0,0
1258.46,238.27,257.59,190.5,384.03,376.88,299.64,0,0,0
1260.17,269.11,291.6,198.75,332.8,380.57,326.22,0,0,0
1261.87,267.02,306.02,242.41,292.45,367.47,363.01,0,0,0
1263.58,295.56,307.07,251.05,322.53,331.15,349.58,0,0,0
1265.28,282.29,257.31,249.22,366.59,299.81,326.14,0,0,0
1266.99,302.87,259.07,244.58,401.65,253.14,339.36,0,0,0
1268.69,306.97,274.35,280.13,450.35,303.78,364.91,0,9.8,0
1270.39,314.92,306.49,288.22,460.38,348.42,393.45,0,9.8,0
1272.09,305.61,338.05,296.72,451.94,412.93,386.86,7.28,10.1,4.1
1273.79,298.72,317.67,262.3,393.05,484.98,389.49,7.28,0.3,4.1
1275.49,283.11,307.27,312.86,407.58,469.8,416.55,16.57,0.3,4.1
1277.18,276.14,293.83,309.72,382.87,483.38,391.38,9.29,0,0
1278.88,244.8,276.69,281.22,397.25,369.06,342.3,9.29,0,0
1280.57,222.42,264.52,208.35,334.72,322.16,328.33,0,0,0
