wavenumber,PE 10ppm-1,PE 10ppm-2,PE 10ppm-3,PE 50ppm-1,PE 50ppm-2,PE 50ppm-3,PE 100ppm-1,PE 100ppm-2,PE 100ppm-3,PE 200ppm-1,PE 200ppm-2,PE 200ppm-3
674.42,16.19,9.66,26.43,0,0,0,0,6.23,4.16,83.17,56.58,21.8
676.45,56.4,36.95,46.51,0,9.03,11.03,0,6.23,4.16,156.04,113.1,110.46
678.47,84.21,60.78,46.51,0,9.03,11.03,0,6.23,4.16,192.26,188.85,160.25
680.49,68.02,58.31,49.12,0,9.03,11.03,0,0,0,141.44,136.75,152.19
682.51,27.81,46.93,47.84,0,0,0,0,0,0,84.88,141.83,97.6
684.53,78.27,99.88,95.87,13.4,14.74,12.75,7.59,0,22.81,152.07,160.63,166.39
686.55,122.83,164.36,102.45,13.4,21,19.37,15.72,9.1,42.19,256.96,293.71,319.42
688.57,148.5,168.49,129.34,13.4,21.23,19.37,15.72,12.2,42.19,323.51,268.52,350.82
690.58,160.48,144.94,127.22,4.32,38.8,29.28,27,22.08,21.86,273.81,251.38,271.24
692.6,172.77,106.7,145.75,14.72,32.54,22.67,18.87,12.98,12.41,274.17,209.63,170.69
694.61,188.61,113.66,136.48,14.72,32.31,22.67,18.87,9.87,17.1,252.81,185.48,133.38
696.63,105.21,96.71,113.64,10.4,0,0,0,0,14.61,236.97,123.49,115.54
698.64,95.35,74.96,121.33,9.39,14.35,13.72,36.62,35.04,28.68,280.74,117.43,108.94
700.65,135.14,113.19,149.66,24.07,33.97,29.06,74.85,78.05,69.95,347.9,237.09,239.36
702.66,197.46,157.62,244.86,24.07,52.77,44.56,127.27,117.58,120.1,459.34,353.01,330.69
704.67,200.99,235.9,274.92,31.47,48.81,36.62,104.34,117.38,113.9,455.4,401.52,316.58
706.68,179.71,224.39,255.85,16.8,29.19,21.28,71.18,76.95,77.14,456.72,381.97,257.38
708.69,181.97,211.4,229.97,16.8,13.44,9.21,18.77,56.28,57.47,463.99,416.33,312.41
710.69,210.98,164.16,205.84,0,25.34,7.46,5.08,35.6,59.12,481.41,420.51,413.57
712.7,194.18,160.11,202.9,0,25.34,14.3,0,33.02,49.93,450.77,433.61,454.95
714.7,162.92,139.92,180.49,0,22.3,10.87,0,14.15,19.44,394.06,386.97,354.23
716.71,149.85,117.59,151.94,0,0,6.84,0,0,0,337.95,353.24,291.74
718.71,106.62,88.66,122.14,0,0,0,0,0,0,294.32,348.31,222.7
720.71,89.72,98.15,96.41,0,0,0,0,0,0,275.51,336.19,245.43
722.71,106.11,161.27,156.98,9.06,0,2.99,0,0,2.2,339.07,442.09,335.17
