wavenumber,UD0,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,UD11,UD12,UD13,UD14,UD15,UD16,UD17,UD18,UD19,UD20,UD21,UD22,UD23,UD24,UD25,UD26,UD27,UD28,UD29,UD30,UD31,UD32,UD33,UD34,UD35,UD36,UD37,UD38,UD39
544.89,8.233262731,0,0,0,0,0,0,0,0,30.98590119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546.98,1.552703067,0,0,0,0,0,0,0,0,24.13546814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549.06,0,0,0,0,0,0,0,0,0,14.23766271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551.15,0,0,0,0,0,0,9.394405444,0,0,1.197313721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553.23,0,0,0,0,0,0,21.17310694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555.32,0,0,0,0,0,0,29.76428873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557.4,0,0,0,0,0,0,35.08573852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559.48,0,0,0,0,0,0,37.18630497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561.56,0,0,0,0,0,0,36.06598808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563.64,0,0,0,0,0,0,31.72478784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565.72,0,0,0,0,0,0,24.16270426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.73172567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567.8,0,0,0,0,0,0,13.37973734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.0212268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.7754716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
571.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760.2529552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845.9106249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857.6984367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795.1371856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658.8284222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448.6498009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.6013216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590.58,0,0,0,0,0,0,6.687771639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.64,0,0,0,0,0,0,12.6448965,0,0,0,0,0,0,0,0,0,0,7.166730709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594.71,0,0,0,0,0,0,16.90229392,0,0,0,0,0,0,0,0,0,0,21.81298972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596.77,0,0,0,0,0,0,19.41882963,0,0,0,0,0,0,0,0,0,0,32.67586529,0,0,0,0,0,0,0,175.147978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598.83,0,0,0,0,0,0,20.21923612,0,0,0,0,0,0,0,0,0,0,39.83510171,0,0,0,0,0,0,0,359.6387889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600.89,0,0,0,0,0,0,19.3035134,0,0,0,0,0,0,0,0,0,0,43.29069898,0,0,0,0,0,0,0,492.7683558,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602.95,0,0,0,0,5.486918038,0,16.67166146,0,0,0,0,0,0,0,0,0,0,43.0426571,0,0,0,0,0,0,0,574.5366788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605.01,0,0,0,0,21.95120506,0,12.32368031,0,0,0,0,0,0,0,0,0,0,39.09097606,0,0,0,0,0,0,0,604.9437577,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607.07,0,0,0,0,34.36688918,0,6.259569947,0,0,0,0,0,0,0,0,0,0,31.43565587,0,0,0,0,0,0,0,583.9895926,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609.13,0,0,0,0,42.7339704,0,0,0,0,0,0,0,0,0,0,0,0,20.07669653,0,0,0,0,0,0,0,511.6741835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611.18,0,0,0,0,47.04126424,0,0,0,0,0,0,0,0,0,0,0,0,5.096163222,0,0,0,0,0,0,0,388.7219606,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613.24,0,0,0,0,47.33079309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.93339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615.29,0,0,0,0,43.59974597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617.35,0,0,0,0,35.81172243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619.4,0,0,0,0,24.04233435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621.45,0,0,0,0,8.263554787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627.6,0,0,0,0,0,0,0,0,0,6.504177649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629.64,0,0,0,0,0,0,0,0,0,14.94921858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631.69,0,0,0,0,0,0,0,0,0,21.17845239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633.73,0,0,0,0,0,0,0,0,0,25.13110605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635.78,0,0,0,0,0,0,0,0,0,26.84593109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637.82,0,0,0,0,0,0,0,0,0,26.30619749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639.86,0,0,0,0,0,0,0,0,0,23.52576218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641.9,0,0,0,0,0,0,0,0,0,18.50462515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
643.94,0,0,0,0,0,0,0,0,0,11.24278641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645.98,0,0,0,0,0,0,0,0,8.327863092,1.740245943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
648.02,0,0,0,0,0,0,0,0,16.28653351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650.06,0,0,0,0,0,0,0,0,22.01546353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
652.09,0,0,0,0,0,0,0,0,25.50293855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654.13,0,0,0,0,0,0,0,0,26.7833179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656.16,0,0,0,0,0,0,0,0,25.84404887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
658.2,0,0,0,0,0,0,0,0,22.67587755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
