wavenumber,PS_PLA 10ppm-3,PS_PLA 10ppm-2,PS_PLA 10ppm-1,PS_PLA 50ppm-1,PS_PLA 50ppm-2,PS_PLA 50ppm-3,PS_PLA 100ppm-1,PS_PLA 100ppm-2,PS_PLA 100ppm-3,PS_PLA 200ppm-1,PS_PLA 200ppm-2, PS_PLA 200ppm-3
688.57,288.09,257.95,312.12,284.63,245.82,303.11,333.92,364.32,377.09,471.23,576.55,415.17
690.58,244.45,165.02,258.51,211.43,174.08,225.99,256.1,257.5,287.11,416.48,473.55,347.83
692.6,136.12,121.38,152.88,124.2,107.31,112.1,146.9,135.3,157.76,284.69,300.84,199.44
694.61,73.33,78.3,77.52,58.98,89.54,49.58,78.9,66.62,80.87,184.78,163.8,119.64
696.63,4.33,36.65,9.59,11.73,37.69,0,19.52,20.21,10.87,64.14,55.44,21.41
698.64,81.01,74.04,74.99,43.53,31.62,39.62,70.68,60.03,79.87,86.35,81.05,52.35
700.65,264.09,221.16,193.72,153.28,162.84,167.14,239.9,236.6,252.34,273.92,324.24,271.95
702.66,369.1,335.57,301.41,270.79,285.2,286.12,384.56,375.94,388.97,462.28,526.46,427.69
704.67,368.15,339.67,287.84,261.65,298.84,293.37,386.07,386.45,385.67,464.83,560.74,470.97
706.68,240.85,234.07,198.58,189.81,173.47,199.94,231.23,260.6,240.67,311.02,396.33,300.55
708.69,212.63,156.9,166.74,103.07,81.85,111.94,126.14,195.84,167.1,196.63,300.67,224.56
710.69,146.61,121.26,113.11,74.2,50.77,65.06,66.25,125.3,105.06,109.1,211.54,142.42
712.7,90.84,79.74,86.45,36.29,44.93,30.97,51.87,74.58,77.58,75.34,132.76,93.24
714.7,14.05,42.5,19.78,5.52,14.19,0,12.3,0,14.52,1.37,26.21,13.5
716.71,0,4.47,11.99,0,0,0,0,0,0,0,0,0
718.71,0,4.47,9.18,0,0,0,0,0,0,0,0,0
720.71,0,21.97,4.45,0,0,0,0,0,0,0,0,0
722.71,97.62,88.01,84.58,93.44,72.03,88.45,121.18,137.16,121.1,117.93,113.2,138.83
724.71,231.45,233.07,203.61,247.26,187.82,218.31,332.41,354.37,309.65,318.23,355.69,336.06
726.71,308.92,282.3,271.84,323.91,262.14,310.35,481.12,507.72,409.07,451.02,510.23,472.12
728.71,277.97,236.08,235.95,280.83,207.86,256.33,411.03,422.61,336.83,366.92,454.84,373.06
730.7,157.46,117.95,128.17,127.01,92.07,126.47,199.8,205.41,148.29,166.61,212.35,175.84
732.7,81.72,53.92,64.15,50.36,17.74,34.44,51.09,52.06,48.86,33.82,57.81,39.78
734.69,15.04,29.64,19.9,0,0,0,0,0,0,0,0,0
736.69,1.73,2.71,8.67,0,0,0,0,0,0,0,0,0
738.68,10.51,0,0,0,0,0,0,0,0,0,0,0
740.67,29.1,24.63,0,0,7.36,12.26,0,0,0,0,0,0
742.66,48.97,28.91,19.25,0.22,7.36,12.26,0,0,0,0,0,0
744.65,38.46,28.91,19.25,0.22,7.36,12.26,0,0,0,0,0,0
746.64,19.88,18.62,19.25,0.22,0,0,0,0,0,0,0,0
748.63,69.97,70.1,59.41,48.91,43.04,68.18,86.03,97.94,95.43,64.64,95.33,79.41
750.61,167.33,145.62,135.9,119.77,128.4,134.31,227.35,219.83,228.87,222.89,259.83,194.1
752.6,278.76,251.54,232.82,222.23,252.07,258.73,414.96,414.68,425.01,448.75,447.84,408.41
754.58,347.84,308.02,281.63,293.27,318.57,311.16,506.74,490.44,514.64,578.81,567.27,511.84
756.57,356.93,321.16,292.12,320.99,312.41,355.6,546.54,549.22,529.29,634.88,585.37,581.94
758.55,315.46,256.75,267.05,294.5,258.04,307.49,464.79,478.79,470.74,552.07,545.27,486.17
760.53,266.55,252.23,262.21,295.9,240.23,322.61,445.29,448.93,448.76,506.84,505.07,444.97
762.51,271.86,285.61,263.92,308.54,233.99,307.3,394.04,408.99,444.36,455.51,505.45,439.34
764.49,280.95,303.76,263.08,313.63,256.87,289.78,436.58,442.52,433.76,449.65,495.62,444.84
766.47,268.49,261.03,230.69,243.84,221.54,216.37,380.26,417.84,367.62,404.93,481.93,423.81
768.45,204.93,199.86,188.53,182.29,188.11,166.21,333.53,365.75,305.74,333.78,401.48,342.69
770.42,187.81,197.81,186.48,167.2,137.48,167.5,281.26,307.13,278.66,299.1,399.17,325.7
772.4,202.15,210.87,167.89,178.9,141.63,170.25,282.13,301.64,283.38,307.22,375.66,322.85
774.37,239.82,237.28,252.63,231.62,213.47,235.68,358.36,393.19,352.14,395.04,440.18,397.69
776.34,262.84,266.69,276.05,245.35,252.99,281.46,394.63,424.43,404.92,404.56,440.73,419.89
778.32,245.53,270.78,297.81,243.77,257.86,306.59,410.59,437.71,409.74,410.43,443.64,417.79
780.29,250.12,312.1,270.81,249.43,249.3,297.29,401.48,404.9,437.81,408.89,448.47,432.94
782.26,286.39,316.76,301.81,279.1,273.76,309.02,464.73,465.47,427.92,525.06,525,481.12
784.23,312.33,334.1,304.16,326.8,299.91,319.76,491.35,477.06,482.72,583.25,562.56,542
786.19,310.06,334.56,308.3,339.62,300.18,331.29,529.12,534.81,463.68,601.92,595.94,513.68
788.16,317.25,353.15,335.89,383.25,333.93,345.96,539.37,546.37,567.78,650.08,619.79,578.19
790.13,346.34,360.97,389.06,424.78,381.91,411.88,596.88,629.19,624.14,731.49,711.24,643.28
792.09,373.56,379.25,404.68,459.12,415.36,438.59,611.87,624.16,670.98,793.39,739.84,705.19
794.06,313.34,310.43,311.53,382.36,342.4,366.88,529.46,563.4,563.76,704.88,672.36,606.35
796.02,240.81,264.62,244.07,295.63,258.45,242.2,403.42,433.34,454.24,574.74,529.26,483.9
797.98,151.4,156.28,144.74,161.71,158.97,127.32,266.88,295.1,299.88,394.76,371.65,331.92
799.94,161.34,173.95,184.08,164.14,166.52,156.46,237.37,264.24,275.56,310.49,351.75,314.99
801.9,183.19,205.53,219.67,186.82,191.98,212.18,319.14,318.31,333.51,360.81,409.11,413.32
803.86,281.61,283.68,340.83,301.41,313.03,328.15,467.5,472.99,481.05,590.07,604.07,580.58
805.82,305.82,349.62,346.12,353.15,343.54,356.93,564.35,542.15,568.09,722.49,693.19,642
807.78,321.95,340.47,326.98,341.13,329.3,339.95,531.81,495.59,511.73,702.51,656.59,546.02
809.73,236.42,264.01,212.53,248.14,197.1,257.01,386.65,339.07,399.42,462.24,444.02,360.09
811.69,157.36,133.01,144.87,137.29,101.36,165.2,238.98,196.39,212.6,251.14,243.96,184.31
813.64,80.32,81.7,112.24,99.47,78.66,94.42,156.7,154.75,141.83,132.08,123.28,123.59
815.6,95.86,99.63,164.51,114.91,111.54,104.9,156.69,182.38,163.67,181.3,183.53,185.47
817.55,197.3,225.47,245.69,193.59,231,189.96,294.62,284.62,296.78,319.12,326.07,348.62
