wavenumber,PMMA 10ppm-1,PMMA 10ppm-2,PMMA 10ppm-3,PMMA 50ppm-1,PMMA 50ppm-2,PMMA 50ppm-3,PMMA 100ppm-1,PMMA 100ppm-2,PMMA 100ppm-3,PMMA 200ppm-1,PMMA 200ppm-2,PMMA 200ppm-3
668.34,55.1,81.63,79.04,38.6,5.09,32.3,102.58,86.63,61.1,73.86,83.36,58.66
670.37,34.89,43.2,59.59,55.79,19.93,30.25,102.58,84.15,52.9,73.86,83.36,58.66
672.4,30.94,7.29,20.21,34.3,14.84,17.45,68.32,26.91,16.28,0,51.92,28.79
674.42,0,2.74,18.15,23.08,14.84,0,13.34,0,0,0,0,0
676.45,27.23,2.74,45.29,27.06,3.91,1.34,22.01,39.03,10.71,0,0,0
678.47,96.39,35.86,77.18,64.1,3.91,1.34,30.25,41.9,32.25,0,0,0
680.49,101.27,33.12,74.16,59.25,3.91,1.34,16.92,41.9,32.25,0,0,0
682.51,74.04,38.06,47.44,56.05,0,0,8.24,2.87,21.54,0,0,0
684.53,33.34,51.84,33.7,40.15,31.63,64.77,42.38,49.49,83.13,20.51,34.6,0
686.55,52.16,107.06,46.49,66.11,57.82,101.1,79.27,103.76,103.7,43.96,59.19,44.38
688.57,86.29,115.46,54.03,79.16,66.7,101.1,79.27,110.28,112.17,43.96,59.19,72.34
690.58,70.41,84.4,49.44,70.41,49.33,65.76,83.43,116.9,54.1,27.48,27.58,72.34
692.6,66.96,31.42,45.94,50.07,34.05,49.49,46.53,62.63,55.39,4.04,6.14,27.96
694.61,32.83,18.08,43.63,19.05,25.17,49.49,46.53,56.11,46.92,4.04,6.14,0
696.63,20.26,2.24,30.07,6.67,10.94,34.27,0,4.08,21.87,0,3.15,0
698.64,33.64,0,26.05,22.14,36.78,14.2,50.31,28.03,32.17,0,2.45,8.99
700.65,62.33,42.51,57.78,71.56,46.17,31.43,87.13,94.41,94.09,51.56,19.18,36
702.66,62.33,68.91,87.16,111.42,46.13,46.22,163.58,124.28,125.89,66.88,32.37,51.84
704.67,64.1,115.89,96.85,128.25,44,59.34,138.7,119.52,142.42,74.68,34.62,51.59
706.68,41.18,81.76,79.18,101.05,34.62,60.18,108.08,89.68,113.87,55.91,27.26,24.58
708.69,68.67,82.84,100.7,99.04,80.8,82.54,49.29,110.34,96.47,115.42,51.51,10.98
710.69,87.27,84.89,111.88,90.68,100.13,118.53,26.42,107.92,84.99,137.01,62.82,18.41
712.7,129.97,102.37,123.14,83.4,134.75,144.27,20.22,72.53,55.56,104.22,53.45,31.8
714.7,112.87,117.05,101.26,46.97,130.02,143.2,2.57,21.64,43.93,29.39,16.01,29.57
716.71,106.65,90.93,81.59,38.08,85.47,118.98,1.05,4.87,6.72,0,0,13.39
718.71,74.4,84.13,58.56,23.13,65.9,75.18,1.05,3.7,2.78,0.3,0,0
720.71,117.25,54.75,69.95,43.95,27.07,60.67,1.05,0,6.6,3.46,0,5.43
