wavenumber,PLA 100ppm-1,PLA 100ppm-2,PLA 100ppm-3,PLA 200ppm-1,PLA 200ppm-2,PLA 200ppm-3
883.31,126,133.26,110.98,159.05,190.88,229.78
885.23,114.37,115.28,102.07,149.37,197.32,211.47
887.14,96.99,87.87,97.4,123.99,193.04,168.77
889.06,94.73,88.26,72.19,145.44,193.26,197.91
890.97,112.61,93.45,83.78,158.07,163.33,195.56
892.88,130.29,92.11,85.17,179.22,187.58,191.38
894.8,113.43,79.9,82.02,142.87,159.66,163.04
896.71,68.82,52.93,70.11,125.48,167.36,151.31
898.62,49.56,65.31,82.56,133.81,156.46,162.65
900.52,83.1,88.83,102.47,163.66,193.4,148.16
902.43,84.99,116.04,121.06,178.24,226.06,170.39
904.34,78.57,127.27,131.34,203.54,225.46,207.35
906.24,84.84,145.19,133.98,202.25,243.58,245.7
908.15,112.35,128.35,138.52,217.24,210.98,226.67
910.05,115.89,107.86,134.42,199.29,213.78,235.37
911.95,121.44,103.4,138.67,239.07,193.64,233.79
913.86,115.58,108.85,136.83,249.8,225.45,243.49
915.76,139.29,117.21,136.23,262.15,244.87,223.47
917.66,112.58,124.15,135.87,244.12,263.25,218.4
919.55,117.44,119,138.09,245.37,248.57,185.61
921.45,112.11,116.32,143.11,249.13,240.39,186.99
923.35,110.58,106.11,132.6,234.05,205.72,192.2
925.24,94.18,106.02,134.21,208.15,198.22,227.25
927.14,96.8,79.3,108.85,197.31,172.77,220.36
929.03,123.11,46.26,106.17,169.86,199.05,204.52
930.92,148.33,46.14,81.74,142.03,173.28,190.96
932.81,152.36,56.48,93.11,128.7,170.68,179.24
934.7,142.07,85.51,83.16,131.77,171.8,178.57
936.59,141.58,96.68,100.68,174,172.75,187.74
938.48,145.23,137.31,100.67,179.74,177.88,199.74
940.37,147.79,137.19,106.89,187.76,128.28,186.68
942.25,116.7,134.09,97.48,158.5,155.74,156.68
944.14,112.97,127.69,111.42,129.96,184.92,124.73
946.02,78.49,136.19,113.6,119.04,206.38,129.07
947.91,72.14,118.17,105.58,111.95,192.33,133.56
949.79,63.15,121.83,105.91,142.26,168.68,122.11
951.67,91.73,131.41,138.49,145.17,149.64,92.27
953.55,105.56,128.89,157.65,137.37,143.54,72.04
955.43,74.53,105.52,151.61,121.06,129.28,65.98
957.31,88.18,71.16,129.59,116.81,154.4,79.63
959.18,85.86,88.83,129.59,115.61,120.9,82.01
961.06,103.67,81.3,105.72,110.25,132.58,93.54
962.94,48.8,75.47,87.54,81.61,81.97,61.14
964.81,27.55,36.63,43.01,49.79,63.38,36
966.68,0.71,14.25,22.61,14.15,9.5,4.4
968.55,0.71,0,0,0,0,0
970.43,0,0,0,0,0,0
972.3,0,0,0,0,0,0
974.16,0,0,0,0,0,0
976.03,0,0,0,0,0,0
977.9,13.03,23.55,2.53,0,0,0
979.76,13.03,23.55,20.89,0,0,0
981.63,18.19,29.24,47.2,26.09,3.98,0
983.49,36.39,57.77,55.38,40.99,30.57,41.74
985.36,52.82,77.06,42.91,45.17,42.54,64.71
987.22,52.52,82.09,25.24,37.76,38.55,64.82
989.08,24.8,30,14.54,22.86,15.45,25.57
990.94,8.37,10.71,8.64,18.69,3.47,2.59
992.8,10.14,0,0,0,3.47,2.49
994.66,6.62,13.38,33.93,25.79,3.51,5.04
996.51,9.06,30.34,49.76,31.62,20.84,21.08
998.37,25.79,59.22,59.82,65.17,46.68,42.8
1000.22,25.79,45.84,25.89,43.12,49.31,63.61
1002.08,23.46,65.17,16.18,51.55,31.98,53.25
1003.93,2.59,41.64,6.12,18,6.14,31.53
1005.78,2.59,41.64,6.12,14.27,0,5.68
1007.63,2.49,5.35,0,0,0,0
1009.48,0,0,0,0,0,0
1011.33,0,0,0,0,0,0
1013.18,0,0,0,0,0,0
1015.03,0,0,0,0,0,0
1016.87,0,0,0,0,0,0
1018.72,0,0,0,0,0,0
1020.56,0,0,0,0,0,0
1022.4,0,0,0,0,0,0
1024.24,0,0,0,0,0,0
1026.08,0,0,0,0,0,0
1027.92,0,0,0,0,0,0
1029.76,0,0,0,0,0,0
1031.6,0,0,0,0,0,0
1033.44,0,0,0,0,0,0
1035.27,0,0,0,0,0,0
1037.11,0,0,0,0,0,0
1038.94,0,0,0,0,0,0
1040.77,0,0,0,0,0,0
1042.6,0,0,0,0,0,0
1044.43,0,0,0,0,0,0
1046.26,0,0,0,0,0,0
1048.09,0,0,0,0,0,0
1049.92,0,0,0,0,0,0
1051.75,0,0,0,0,0,0
1053.57,0,0,0,0,0,0
1055.4,0,0,0,0,0,0
1057.22,0,0,0,0,0,0
1059.04,0,0,0,0,0,0
1060.86,0,0,0,0,0,0
1062.68,0,0,0,0,0,0
1064.5,0,0,0,0,0,0
1066.32,0,0,0,0,0,0
1068.14,0,0,0,0,0,0
1069.96,0,0,0,0,0,0
1071.77,0,0,0,0,0,0
1073.58,0,0,0,0,0,0
1075.4,0,0,0,0,0,0
1077.21,0,0,0,0,0,0
1079.02,0,0,0,0,0,0
1080.83,0,0,0,0,0,0
1082.64,0,0,0,0,0,0
1084.45,0,0,0,0,0,0
1086.26,0,0,0,0,0,0
1088.06,0,0,0,0,0,0
1089.87,0,0,0,0,0,0
1091.67,0,0,0,0,0,0
1093.48,0,0,0,0,0,0
1095.28,0,0,0,0,0,0
1097.08,0,0,0,0,0,0
1098.88,0,0,0,0,0,0
1100.68,0,0,0,0,0,0
1102.48,0,0,0,0,0,0
1104.27,0,0,0,0,0,0
1106.07,0,0,0,0,0,0
1107.86,0,0,0,0,0,0
1109.66,0,0,0,0,0,0
1111.45,0,0,0,0,0,0
1113.24,0,0,0,0,0,0
1115.03,0,0,0,0,0,0
1116.82,0,0,0,0,0,0
1118.61,0,0,0,0,0,0
1120.4,0,0,0,0,0,0
1122.19,0,0,0,0,0,0
1123.97,0,0,0,0,0,0
1125.76,0,0,0,0,0,0
1127.54,0,0,0,0,0,0
1129.33,0,0,0,0,0,0
1131.11,0,0,0,0,0,0
1132.89,0,0,0,0,0,0
1134.67,0,0,0,0,0,0
1136.45,0,0,0,0,0,0
1138.23,0,0,0,0,0,0
1140,0,0,0,0,0,0
1141.78,0,0,0,0,0,0
1143.55,0,0,0,0,0,0
1145.33,0,0,0,0,0,0
1147.1,0,0,0,0,0,0
1148.87,0,0,0,0,0,0
1150.64,0,0,0,0,0,0
1152.41,0,0,0,0,0,0
1154.18,0,0,0,0,0,0
1155.95,0,3.4,0,0,0,0
1157.72,0,3.4,0,0,0,0
1159.48,0,11.65,0,0,0,0
1161.25,0,8.24,0,0,0,0
1163.01,0,8.24,0,0,0,0
1164.77,0,0,0,0,0,0
1166.53,0,0,0,0,0,0
1168.3,0,0,0,0,0,0
1170.06,0,0,0,0,0,0
1171.81,0,0,0,0,0,0
1173.57,0,0,0,0,0,0
1175.33,0,0,0,0,0,0
1177.08,0,0,0,0,0,0
1178.84,0,0,0,0,0,0
1180.59,0,0,0,0,0,0
1182.34,0,0,0,0,0,0
1184.1,0,0,0,0,0,0
1185.85,0,0,0,0,0,0
1187.6,0,0,0,0,0,0
1189.35,0,0,0,0,0,0
1191.09,0,0,0,0,0,0
1192.84,0,0,0,0,0,0
1194.58,0,0,0,0,0,0
1196.33,0,0,0,0,0,0
1198.07,0,0,0,0,0,0
1199.82,0,0,0,0,0,0
1201.56,0,0,0,0,0,0
1203.3,0,0,0,0,0,0
1205.04,0,0,0,0,0,0
1206.78,0,0,0,0,0,0
1208.51,0,0,0,0,0,0
1210.25,0,0,0,0,0,0
1211.98,0,0,0,0,0,0
1213.72,0,0,4.85,0,0,0
